FF,stat,n,mle,stderr,mean,low,high,group
Sage 2.2.1 + AshGC,RMSE,997,0.41796995761153144,0.02022486489585428,0.42319547199345364,0.3847297357449228,0.4639699433318732,All
Sage 2.2.1 + AshGC,MUE,997,0.27502165338723505,0.009994934147116014,0.28013809397443157,0.26101971861289675,0.30083567430741964,All
Sage 2.2.1 + AshGC,MSE,997,0.09933594202280703,0.01271386601150691,0.09877520185894219,0.07417088098810819,0.1251377539813321,All
Sage 2.2.1 + AshGC,R2,997,0.8058731124383044,0.019503258634591913,0.8002287909185043,0.7605640366264229,0.834902369729969,All
Sage 2.2.1 + AshGC,rho,997,0.8977043569228702,0.010858010601420191,0.8948134665440982,0.8713318911873971,0.9147520021887652,All
Sage 2.2.1 + AshGC,RMSE,15,0.3970859554616902,0.0651375051374057,0.3956915143705487,0.2695375786830068,0.5256077007113518,"1,2 Diol"
Sage 2.2.1 + AshGC,MUE,15,0.3301762823439632,0.05946479572776148,0.3309863932502236,0.21754309981030304,0.453519012192651,"1,2 Diol"
Sage 2.2.1 + AshGC,MSE,15,0.31234628843874374,0.06607220436146712,0.3130305787582364,0.18726657961396487,0.4443659520668615,"1,2 Diol"
Sage 2.2.1 + AshGC,R2,15,0.6332460882841329,0.13357776395231916,0.6389665277110755,0.3542784824461443,0.8695496919638954,"1,2 Diol"
Sage 2.2.1 + AshGC,rho,15,0.7957676094715925,0.08892147102509916,0.79242996693584,0.5880685571026691,0.9374665002671148,"1,2 Diol"
Sage 2.2.1 + AshGC,RMSE,12,0.09288787180316131,0.01791403245688043,0.0995947253876083,0.06529233540713039,0.13587179165772398,Acetal
Sage 2.2.1 + AshGC,MUE,12,0.07799024078835222,0.017239972273147254,0.08252023582158055,0.05126470140347009,0.1183536964075433,Acetal
Sage 2.2.1 + AshGC,MSE,12,0.05175009702183287,0.02521911593240446,0.05269175800162259,0.005719072768400659,0.10280206744727798,Acetal
Sage 2.2.1 + AshGC,R2,12,0.9071825382928755,0.10859290294024745,0.8576436268234288,0.5645906824876246,0.9717815898572827,Acetal
Sage 2.2.1 + AshGC,rho,12,0.9524613054045165,0.06533120860972322,0.922975876420988,0.7414293725414105,0.9866497952103298,Acetal
Sage 2.2.1 + AshGC,RMSE,345,0.4784169597946158,0.029665227186198875,0.4839066326588577,0.42663687585815196,0.5444904981538206,Alcohol
Sage 2.2.1 + AshGC,MUE,345,0.3254603987378403,0.019099362103541698,0.33241666144681076,0.29671482475730593,0.3726334270188264,Alcohol
