,label,calc_dG,calc_err,exp_dG,exp_err,dataset
36,CAT-17b,-10.295525504645791,0.30480944612455096,-10.02299976348877,0.0,bace
37,CAT-17e,-10.221010717174991,0.2963364981533047,-10.02299976348877,0.0,bace
38,CAT-13h,-7.918057853594984,0.337690172781922,-9.633000373840332,0.0,bace
39,CAT-17a,-10.895375393783407,0.2715566572815659,-10.732999801635742,0.0,bace
40,CAT-13a,-8.289672283386103,0.1820786320575772,-8.843000411987305,0.0,bace
41,CAT-17h,-10.087889616087931,0.27158689203236286,-10.333000183105469,0.0,bace
42,CAT-13f,-8.960060632900792,0.338596134625849,-9.093000411987305,0.0,bace
43,CAT-13i,-11.079672283386142,0.5738731619702622,-9.27299976348877,0.0,bace
44,CAT-13c,-7.841333911510617,0.47058337359282315,-9.322999954223633,0.0,bace
45,CAT-13g,-9.63783250832852,0.2791479659822475,-9.093000411987305,0.0,bace
46,CAT-4p,-9.980243137060544,0.19545948754913023,-10.083000183105469,0.0,bace
47,CAT-13o,-8.841770864416773,0.2730495626283086,-8.543000221252441,0.0,bace
48,CAT-13m,-9.67153009200134,0.21317313199182808,-8.762999534606934,0.0,bace
49,CAT-4o,-8.732082568561133,0.21168725766198038,-9.383000373840332,0.0,bace
50,CAT-4m,-9.92170845684147,0.20919843989528428,-9.152999877929688,0.0,bace
51,CAT-13k,-9.223755104875657,0.22247970641495446,-9.70300006866455,0.0,bace
52,CAT-4j,-8.204125582009102,0.2641559617710763,-9.02299976348877,0.0,bace
53,CAT-4b,-10.611554669145827,0.3340287229323311,-9.633000373840332,0.0,bace
54,CAT-4d,-9.970399985049959,0.31876098574541933,-9.11299991607666,0.0,bace
55,CAT-4n,-10.021772736459216,0.27056976111076564,-9.093000411987305,0.0,bace
56,CAT-4i,-8.398986578717327,0.35362244179448693,-8.262999534606934,0.0,bace
57,CAT-13j,-9.246542952460349,0.25392827943218504,-8.732999801635742,0.0,bace
58,CAT-24,-11.402354442123151,0.3959926243675912,-11.350000381469728,0.0,bace
59,CAT-17i,-9.95901831295564,0.27317793348524,-9.472999572753906,0.0,bace
60,CAT-17d,-8.074761655375427,0.30955039073514967,-9.42300033569336,0.0,bace
61,CAT-17c,-10.06049451341696,0.282518570616328,-9.86299991607666,0.0,bace
62,CAT-13n,-8.250709639926555,0.3029202473325642,-8.543000221252441,0.0,bace
63,CAT-17g,-8.657554083017633,0.28984514116288507,-9.743000030517578,0.0,bace
64,CAT-4l,-7.580713210875082,0.28618972327149245,-9.343000411987305,0.0,bace
65,CAT-13d,-10.336010285771497,0.27009661697338655,-10.472999572753906,0.0,bace
66,CAT-4c,-9.900399985050022,0.8044374911355932,-7.853000164031982,0.0,bace
67,CAT-13b,-7.325977832213361,0.3330257095905805,-9.123000144958496,0.0,bace
68,CAT-17f,-9.900863563532276,0.2849147793175201,-9.42300033569336,0.0,bace
69,CAT-4a,-8.49850702530807,0.28970126984093564,-7.933000087738037,0.0,bace
70,CAT-4k,-7.523981252112192,0.2991041968826436,-7.853000164031982,0.0,bace
71,CAT-13e,-10.692753302698431,0.319263537242814,-9.963000297546388,0.0,bace
34,2q,-12.33667318281863,0.20370725371697807,-12.260000228881836,0.0,p38
35,2k,-9.229916963338596,0.12357818202979831,-10.550000190734863,0.0,p38
36,2ee,-10.88342940229867,0.1801062769675579,-12.260000228881836,0.0,p38
37,3fln,-10.484140627735838,0.09946666192446506,-10.880000114440918,0.0,p38
38,2m,-11.8299169633386,0.19840787464425097,-10.960000038146973,0.0,p38
39,2j,-10.301243844623931,0.11349800721748295,-10.079999923706056,0.0,p38
40,2v,-7.741315008676873,0.18163420465810676,-8.970000267028809,0.0,p38
41,2gg,-9.014082395375212,0.1332410810840015,-10.65999984741211,0.0,p38
42,2p,-10.913823201246313,0.26542717302512486,-11.199999809265137,0.0,p38
43,2l,-11.712480079086022,0.11761805960173814,-12.260000228881836,0.0,p38
44,2ff,-10.263993932813678,0.10852273027487896,-11.4399995803833,0.0,p38
45,2t,-12.33248007908602,0.12719948624874286,-11.850000381469728,0.0,p38
46,2z,-10.608421741519766,0.4293353807681303,-10.359999656677246,0.0,p38
47,3fly,-9.865636142103835,0.19304859268010624,-11.420000076293944,0.0,p38
48,2aa,-10.020014583837796,0.35273398859568356,-9.270000457763672,0.0,p38
49,3flq,-13.92637708777077,0.5568987435722381,-9.93000030517578,0.0,p38
50,3flw,-11.402446961653357,0.34794375410106454,-10.68000030517578,0.0,p38
51,2e,-9.553878615069163,0.12196250095059075,-10.699999809265137,0.0,p38
52,2o,-12.680872745547951,0.47447516627644626,-10.489999771118164,0.0,p38
53,2n,-11.832881592241181,0.14554071251103112,-11.850000381469728,0.0,p38
54,2r,-11.090990515503734,0.29585862710284677,-10.789999961853027,0.0,p38
55,2s,-10.736968368922662,0.27192280729812524,-11.109999656677246,0.0,p38
56,2bb,-9.64131500867693,0.6097659499459898,-9.0600004196167,0.0,p38
57,2x,-9.417259972808253,0.19863522888896307,-10.229999542236328,0.0,p38
58,2u,-12.291219951948761,0.7208550617067264,-12.260000228881836,0.0,p38
59,2f,-10.03269546412121,0.11824237601385663,-8.479999542236328,0.0,p38
60,3flz,-10.412593115423288,0.11009371454120202,-9.489999771118164,0.0,p38
