Parameter,Reference,Iteration,Value,Attribute,smirks,SMIRKS
n8,1.377051329051,1,1.369165767231,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,1,1.381908898893,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,1,0.6056827423808,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,1,0.3003827771056,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,1,1.955251042311,rmin_half,[#6:1],[#6:1]
n15,1.908,1,1.900277350719,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,1,1.893688920409,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,1,1.711175422259,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,1,1.703020058661,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,1,1.680105503081,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,1,1.807531567737,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,1,1.855924945642,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,1,1.939608738134,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,2,1.47802523102,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,2,1.439656083078,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,2,1.298657856375,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,2,1.193247936829,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,2,1.429530712253,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
