Parameter,Reference,Iteration,Value,Attribute,smirks,SMIRKS
n16,1.896698071741,12,1.910707109933,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,12,1.715449917836,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,12,1.721416300806,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,12,1.671323786804,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,12,1.82545223729,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,12,1.856180969703,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,12,1.932085140288,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,13,1.475966513075,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,13,1.437694169221,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,13,1.296855293041,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,13,1.195975019651,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,13,1.422588100365,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,13,1.377259627956,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,13,1.381498606662,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,13,0.6231821935668,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,13,0.299999999993,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,13,1.978944705494,rmin_half,[#6:1],[#6:1]
n15,1.908,13,1.911221096316,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,13,1.908814069755,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,13,1.71775729524,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,13,1.717428731477,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,13,1.667444765276,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,13,1.828236683223,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,13,1.855317562002,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,13,1.932976213843,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,14,1.477272537368,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,14,1.436613300973,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,14,1.297901360805,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,14,1.196870567677,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,14,1.426009669991,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,14,1.369791426328,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,14,1.385633510978,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,14,0.6284722797154,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,14,0.2999999999961,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,14,1.978615344113,rmin_half,[#6:1],[#6:1]
n15,1.908,14,1.905858404727,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,14,1.908919066673,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,14,1.720311627444,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,14,1.716253585793,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,14,1.669534274724,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,14,1.829631789916,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,14,1.856503286234,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,14,1.933769598239,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,15,1.476329502558,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,15,1.438001135849,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,15,1.29548303889,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,15,1.192902562728,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,15,1.425134766575,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,15,1.370536468906,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,15,1.38053167772,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,15,0.6248107140048,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,15,0.2999999999983,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,15,1.981895323677,rmin_half,[#6:1],[#6:1]
n15,1.908,15,1.907320242439,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,15,1.908037607674,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,15,1.725792156128,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,15,1.711369453536,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,15,1.669252012446,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,15,1.83240898755,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,15,1.852835062652,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,15,1.932297026288,rmin_half,[#35:1],[#35:1]
n2,0.01577948280971,0,0.01577948280971,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,0,0.01640924602775,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,0,0.0157,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,0,0.0157,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,0,0.01561134320353,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,0,0.01310699839698,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,0,0.01479744504464,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,0,0.01409081474669,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,0,1.232599966667e-05,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,0,0.0868793154488,epsilon,[#6:1],[#6:1]
n15,0.21,0,0.21,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,0,0.1088406109251,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,0,0.2102061007896,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,0,0.1684651402602,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,0,0.2094735324129,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,0,0.1676915150424,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,0,0.2656001046527,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,0,0.3218986365974,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,1,0.01617915515787,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,1,0.01814682594792,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,1,0.01554537813552,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,1,0.01540467374963,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,1,0.01711983002149,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,1,0.01224325284284,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,1,0.01474860459824,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,1,0.01205509776666,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,1,4.342427617601e-05,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,1,0.0877354325818,epsilon,[#6:1],[#6:1]
n15,0.21,1,0.2099832414165,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,1,0.109571107488,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,1,0.2101728391966,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,1,0.1669501426272,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,1,0.20871934282,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,1,0.167192616461,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,1,0.2654225171475,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,1,0.3225686326512,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,2,0.01617501609303,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,2,0.01850725663369,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,2,0.01559212769123,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,2,0.01499630048333,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,2,0.01685997431728,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,2,0.0135650428076,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,2,0.01474164845367,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,2,0.01206098066947,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,2,0.0,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,2,0.08791311459746,epsilon,[#6:1],[#6:1]
n15,0.21,2,0.2099992478769,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,2,0.1094812942297,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,2,0.2101422701141,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,2,0.1669466526058,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,2,0.2089779028282,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,2,0.1673058696306,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,2,0.2650079051967,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,2,0.3221627260766,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,3,0.01638373905349,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,3,0.01817773071185,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,3,0.01554512104862,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,3,0.01486797631842,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,3,0.01750616124408,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,3,0.01287657810977,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,3,0.01490905511189,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,3,0.01330430270597,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,3,0.0,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,3,0.08828282468775,epsilon,[#6:1],[#6:1]
n15,0.21,3,0.2099312838697,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,3,0.1096116367815,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,3,0.2102407408352,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,3,0.1669017776281,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,3,0.209003683579,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,3,0.1676004046346,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,3,0.2648561092024,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,3,0.3222912832454,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,4,0.01597445556962,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,4,0.01806920107581,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,4,0.01564060315067,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,4,0.01515356792717,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,4,0.01712511387991,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,4,0.01257691975257,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,4,0.01473661623238,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,4,0.01350352065776,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,4,0.0,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,4,0.08816720675484,epsilon,[#6:1],[#6:1]
n15,0.21,4,0.2100495927666,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,4,0.1092792635855,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,4,0.2103811007122,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,4,0.1669487596434,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,4,0.2085208741591,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,4,0.167491750015,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,4,0.2651887254844,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,4,0.322179331871,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,5,0.0159854869599,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,5,0.01781625863215,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,5,0.01555976057141,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,5,0.01514512984243,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,5,0.01677740108732,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,5,0.0128457124356,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,5,0.01476782129988,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,5,0.01334874645169,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,5,0.0,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,5,0.08904629746302,epsilon,[#6:1],[#6:1]
n15,0.21,5,0.2099913165415,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,5,0.1094163774455,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,5,0.2102774770932,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,5,0.1669589256098,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,5,0.2084421484764,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,5,0.1676437320287,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,5,0.2655124682639,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,5,0.3223139028726,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,6,0.01578595736958,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,6,0.01745758012204,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,6,0.01561483167534,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,6,0.01515658251862,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,6,0.0163668311623,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,6,0.0129324767862,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,6,0.01509003527949,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,6,0.01260625085905,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,6,0.0,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,6,0.0885434999173,epsilon,[#6:1],[#6:1]
n15,0.21,6,0.2099548270796,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,6,0.1094849893256,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,6,0.2104065878058,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,6,0.167105603698,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,6,0.2081954126856,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,6,0.1674694076682,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,6,0.2658539562646,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,6,0.3223161409221,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,7,0.01569299039534,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,7,0.01756497337677,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,7,0.01538168448696,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,7,0.01488509429154,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,7,0.01631522241648,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,7,0.01379442377688,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,7,0.01521298894531,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,7,0.01297073770429,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,7,0.0,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,7,0.08873216790989,epsilon,[#6:1],[#6:1]
n15,0.21,7,0.2099995590129,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,7,0.109206109798,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,7,0.2104172543511,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,7,0.1669878861463,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,7,0.2085200210022,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,7,0.1674312012146,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,7,0.2654311952054,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,7,0.3223405729048,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,8,0.015535904015,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,8,0.01699657160253,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,8,0.01552520910475,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,8,0.01531804405504,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,8,0.016048058208,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,8,0.01228680242862,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,8,0.01485073843753,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,8,0.01334986468847,epsilon,[#1:1]-[#7],[#1:1]-[#7]
n12,1.232599966667e-05,8,0.0,epsilon,[#1:1]-[#8],[#1:1]-[#8]
n14,0.0868793154488,8,0.088201166786,epsilon,[#6:1],[#6:1]
n15,0.21,8,0.210033317147,epsilon,[#6X2:1],[#6X2:1]
n16,0.1088406109251,8,0.1088480237841,epsilon,[#6X4:1],[#6X4:1]
n17,0.2102061007896,8,0.2103184840826,epsilon,[#8:1],[#8:1]
n18,0.1684651402602,8,0.166978194473,epsilon,[#8X2H0+0:1],[#8X2H0+0:1]
n19,0.2094735324129,8,0.2084988280914,epsilon,[#8X2H1+0:1],[#8X2H1+0:1]
n20,0.1676915150424,8,0.1674473932252,epsilon,[#7:1],[#7:1]
n24,0.2656001046527,8,0.2650823068684,epsilon,[#17:1],[#17:1]
n25,0.3218986365974,8,0.3221415564095,epsilon,[#35:1],[#35:1]
n2,0.01577948280971,9,0.01525765689371,epsilon,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,0.01640924602775,9,0.01720385073575,epsilon,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,0.0157,9,0.015563853878,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,0.0157,9,0.015515894564,epsilon,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,0.01561134320353,9,0.01627425458953,epsilon,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,0.01310699839698,9,0.01200972452698,epsilon,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,0.01479744504464,9,0.01464548602864,epsilon,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.01409081474669,9,0.01284797373669,epsilon,[#1:1]-[#7],[#1:1]-[#7]
