FF,stat,n,mle,stderr,mean,low,high,group
Sage 2.2.1 + AmberTools,RMSE,382,0.7773659514421964,0.05218747968287319,0.8338857207645144,0.7366155585840417,0.9393486848418466,All
Sage 2.2.1 + AmberTools,MUE,382,0.5520156683909742,0.030371573962792723,0.6080290357620433,0.5492782756736908,0.6687581252675627,All
Sage 2.2.1 + AmberTools,MSE,382,-0.03132082484041296,0.042533998146138,-0.031473194934436094,-0.11328874256831745,0.05332317972940041,All
Sage 2.2.1 + AmberTools,R2,382,0.8745909849244697,0.020623673261517317,0.8559060650935804,0.8091162028881401,0.8912575299168918,All
Sage 2.2.1 + AmberTools,rho,382,0.9351956933842623,0.010754781890385662,0.9256487784196642,0.9013675817404134,0.9453474391530649,All
Sage 2.2.1 + AmberTools,RMSE,91,0.8277459101822351,0.11116306914739527,0.8770706453366612,0.6929999883831076,1.11003450977299,Alcohol
Sage 2.2.1 + AmberTools,MUE,91,0.6140406604574461,0.059685499803268316,0.6578872074205703,0.5485691208203972,0.7831817134606983,Alcohol
Sage 2.2.1 + AmberTools,MSE,91,0.0666373585117894,0.0931945836915914,0.06584167668439428,-0.12505700241139922,0.2364940860272968,Alcohol
Sage 2.2.1 + AmberTools,R2,91,0.8683827341892514,0.06965006993370018,0.8307475823776198,0.6675236403605058,0.9299010684774476,Alcohol
Sage 2.2.1 + AmberTools,rho,91,0.931870556563115,0.03667706033272259,0.9131194723747944,0.8245588077234399,0.9632140424497652,Alcohol
Sage 2.2.1 + AmberTools,RMSE,19,0.8776329484937341,0.1933451093451683,0.9073086890344733,0.560285741799267,1.2820739864842225,Aldehyde
Sage 2.2.1 + AmberTools,MUE,19,0.6512860610319404,0.1378059348572456,0.6898773809999261,0.43920744862091077,0.9815096430614008,Aldehyde
Sage 2.2.1 + AmberTools,MSE,19,0.2577152844616047,0.20152982952217324,0.24662555030181765,-0.1116311899584509,0.6502864369838747,Aldehyde
Sage 2.2.1 + AmberTools,R2,19,0.928698184606978,0.039240334342116476,0.919649638288741,0.8262246681381307,0.972630101821498,Aldehyde
Sage 2.2.1 + AmberTools,rho,19,0.963689879892374,0.02008134369511371,0.9594485186171121,0.9119355597475445,0.9861546930650255,Aldehyde
Sage 2.2.1 + AmberTools,RMSE,138,0.7229007793198398,0.1021459936646069,0.779506456478172,0.5975802088680636,0.9856130655131615,Alkane
Sage 2.2.1 + AmberTools,MUE,138,0.48563430081200415,0.04763719531347688,0.5426390386989571,0.4551968485243526,0.6412059556071293,Alkane
Sage 2.2.1 + AmberTools,MSE,138,0.20676814720572692,0.06376366749383675,0.20812961539035413,0.08651483419094755,0.3338048580708739,Alkane
Sage 2.2.1 + AmberTools,R2,138,0.8609445683546305,0.03060322218736139,0.8423328758355874,0.7793378400963192,0.897793846302425,Alkane
Sage 2.2.1 + AmberTools,rho,138,0.9278709869128523,0.016769162662816643,0.917889584456851,0.8844496661193113,0.9486507802813028,Alkane
Sage 2.2.1 + AmberTools,RMSE,3,0.6425594423679322,0.2073655042776956,0.6803296887567668,0.27871487880414514,1.1141068906932614,Alkene
Sage 2.2.1 + AmberTools,MUE,3,0.6095159455921156,0.19518188961985639,0.618682767305617,0.2634133449364427,1.053300388941383,Alkene
Sage 2.2.1 + AmberTools,MSE,3,0.6095159455921156,0.21520660384230933,0.6094512605419345,0.1860466868462972,1.031914877747783,Alkene
Sage 2.2.1 + AmberTools,R2,3,0.993543940064654,0.23376111628555785,0.8831117988265161,0.09762473690990711,0.9999606950448665,Alkene
Sage 2.2.1 + AmberTools,rho,3,0.9967667430570974,0.4333630396701336,0.8269050828702325,-0.8017924011719886,0.9999742091672036,Alkene
Sage 2.2.1 + AmberTools,RMSE,10,0.6630236285519944,0.14373409092810432,0.7186428118761458,0.4443705438089129,1.009093596501348,Alkyl Bromide
Sage 2.2.1 + AmberTools,MUE,10,0.5553195318192028,0.1339055219095493,0.5987062551323192,0.34587381460439315,0.8685357953870021,Alkyl Bromide
Sage 2.2.1 + AmberTools,MSE,10,0.26179598890508127,0.21068608408592707,0.25732455401843873,-0.17484411254959403,0.6746819764470147,Alkyl Bromide
Sage 2.2.1 + AmberTools,R2,10,0.8814807400124585,0.11974837919433821,0.8413771593010925,0.5433989020597646,0.9723878663985218,Alkyl Bromide
Sage 2.2.1 + AmberTools,rho,10,0.9388720573179594,0.08621597512405119,0.9138702364903551,0.7017076596452344,0.9852162186476247,Alkyl Bromide
Sage 2.2.1 + AmberTools,RMSE,20,0.8881173026995887,0.18418373253228548,0.916427314636459,0.5914722788972346,1.3048714218463782,Alkyl Chloride
Sage 2.2.1 + AmberTools,MUE,20,0.6781412213361984,0.13637019716383905,0.7112955930985044,0.4706465237346508,1.0014406291739537,Alkyl Chloride
Sage 2.2.1 + AmberTools,MSE,20,-0.21492588088815817,0.20542664916431577,-0.2103865444394066,-0.625701046425031,0.17570781990557388,Alkyl Chloride
Sage 2.2.1 + AmberTools,R2,20,0.9012343620965718,0.03434219789520937,0.8932834744459692,0.8139727903088236,0.9500104026976636,Alkyl Chloride
Sage 2.2.1 + AmberTools,rho,20,0.9493336410854573,0.01831081083928073,0.9457172057577163,0.9023656683988471,0.9750008705027513,Alkyl Chloride
Sage 2.2.1 + AmberTools,RMSE,14,0.49600043546908107,0.0976578757454168,0.5711376584564559,0.3799039309442143,0.7725118081690024,Alkylarylether
Sage 2.2.1 + AmberTools,MUE,14,0.4122914119367554,0.09113566526581289,0.46737258538285936,0.30122922027433,0.6652060579246738,Alkylarylether
Sage 2.2.1 + AmberTools,MSE,14,-0.036055521030535144,0.1542937417799301,-0.033205019049688346,-0.3477107356785882,0.2664639055941375,Alkylarylether
Sage 2.2.1 + AmberTools,R2,14,0.8239227870148018,0.15492265200661726,0.6568371748290617,0.2863085350165214,0.8899193208125129,Alkylarylether
Sage 2.2.1 + AmberTools,rho,14,0.907701926303344,0.11517026548852041,0.80423839877389,0.5101811612081452,0.9431195125450413,Alkylarylether
Sage 2.2.1 + AmberTools,RMSE,3,0.9786922779335038,0.24983903869548052,0.9925723223044361,0.46882139153951247,1.451527904052825,Alkylthiol
Sage 2.2.1 + AmberTools,MUE,3,0.8903316754241924,0.2755173211169743,0.9107998167415945,0.3833963542666117,1.4492016130159602,Alkylthiol
Sage 2.2.1 + AmberTools,MSE,3,0.8903316754241924,0.2867088580848363,0.9116316343891895,0.30750050258859934,1.429505923729864,Alkylthiol
Sage 2.2.1 + AmberTools,R2,3,0.13136136469759974,0.35949738012564136,0.5295527823404309,0.002126722251377361,0.9980721556042438,Alkylthiol
Sage 2.2.1 + AmberTools,rho,3,0.3624380839503484,0.7332536676789345,0.09727001738607674,-0.9929795868853709,0.9994637892224445,Alkylthiol
Sage 2.2.1 + AmberTools,RMSE,72,0.5929690978260634,0.08356460698523202,0.6617904058198602,0.5095820831608044,0.8358771637799456,Amine
Sage 2.2.1 + AmberTools,MUE,72,0.4462749360698432,0.053480113693274524,0.5073150797793494,0.4032300535994902,0.6221557190651905,Amine
Sage 2.2.1 + AmberTools,MSE,72,0.23927300778361996,0.07574335000967884,0.2350404436760657,0.08123031283311137,0.37138770480496874,Amine
Sage 2.2.1 + AmberTools,R2,72,0.8968737594336917,0.031940058271603886,0.8611972857072754,0.793174390594232,0.9191454541914538,Amine
Sage 2.2.1 + AmberTools,rho,72,0.9470341912696139,0.017495872803292362,0.9283299935628327,0.8907298565724314,0.9592843134557769,Amine
Sage 2.2.1 + AmberTools,RMSE,209,0.810709355543438,0.07391354056031992,0.8628682534174628,0.7284714784338808,1.012266871511622,Aromatic
Sage 2.2.1 + AmberTools,MUE,209,0.5542228664670775,0.042484094697601144,0.6158919754849835,0.5391755893510127,0.7043633413876442,Aromatic
Sage 2.2.1 + AmberTools,MSE,209,-0.03928138604701187,0.06070928153314597,-0.04160407437603429,-0.1548456529119202,0.07449802754999094,Aromatic
Sage 2.2.1 + AmberTools,R2,209,0.8801391835076525,0.026572442332660935,0.8651191544323787,0.8066682650505681,0.9094642861529862,Aromatic
Sage 2.2.1 + AmberTools,rho,209,0.9381573340904252,0.01545269724343545,0.9291844112375649,0.8958199674320428,0.9543340037737962,Aromatic
Sage 2.2.1 + AmberTools,RMSE,19,1.4364932908642887,0.36223449437059707,1.431044117596465,0.6923041857025102,2.1192768252154077,Aryl Bromide
Sage 2.2.1 + AmberTools,MUE,19,0.9096929546264434,0.251857279266155,0.9601700236247934,0.5258966014084913,1.513777978699075,Aryl Bromide
Sage 2.2.1 + AmberTools,MSE,19,0.572536862987878,0.30848641657419623,0.5702609758448206,-0.03098829731141266,1.2062770674397176,Aryl Bromide
Sage 2.2.1 + AmberTools,R2,19,0.766133645080543,0.19155554042153528,0.7209331219794206,0.26953131681826176,0.9695201600995761,Aryl Bromide
Sage 2.2.1 + AmberTools,rho,19,0.8752906060735157,0.11633833756964956,0.8470871007084553,0.5356106831413838,0.9837122053068357,Aryl Bromide
Sage 2.2.1 + AmberTools,RMSE,9,0.588404436729382,0.22639453427856557,0.6218293370379767,0.2514508302053426,1.0746724135728778,Aryl Chloride
Sage 2.2.1 + AmberTools,MUE,9,0.370241027640359,0.1627709437706454,0.45631147930424,0.21271865391758915,0.8236529819799658,Aryl Chloride
Sage 2.2.1 + AmberTools,MSE,9,-0.2676498644567903,0.19866903415529588,-0.2653298526846344,-0.6835059436172121,0.0890651874678696,Aryl Chloride
Sage 2.2.1 + AmberTools,R2,9,0.8710111503279749,0.2041235514164415,0.7814065755118104,0.26987443414566353,0.9841508418006978,Aryl Chloride
Sage 2.2.1 + AmberTools,rho,9,0.9332797813774687,0.12787640527224847,0.8727646195548762,0.5474460520738874,0.9909770534115708,Aryl Chloride
Sage 2.2.1 + AmberTools,RMSE,72,0.5772517150590051,0.08221686612331262,0.6457521013614398,0.5060127467407176,0.8246422490609503,Carbonyl
Sage 2.2.1 + AmberTools,MUE,72,0.3910515428190871,0.05237280082361305,0.47682299026886005,0.38382269152995085,0.5864774981657179,Carbonyl
Sage 2.2.1 + AmberTools,MSE,72,-0.05810779355176679,0.0761103722411313,-0.059208122848679184,-0.21402736402058609,0.09168339152520764,Carbonyl
Sage 2.2.1 + AmberTools,R2,72,0.9151758689513682,0.04069899582004371,0.8886837283249412,0.7928965378447346,0.94410147009554,Carbonyl
Sage 2.2.1 + AmberTools,rho,72,0.9566482472420926,0.021316564679805448,0.9428187897461686,0.8927236029917187,0.9736665488859102,Carbonyl
Sage 2.2.1 + AmberTools,RMSE,26,0.6302721932755468,0.11381586806959428,0.686206139895754,0.46883553464004324,0.9182855935083268,Carboxylic Acid Amide
Sage 2.2.1 + AmberTools,MUE,26,0.47471954557986457,0.08740492071869867,0.5391117057503054,0.3792312341059982,0.7224957688361839,Carboxylic Acid Amide
Sage 2.2.1 + AmberTools,MSE,26,0.210214340779438,0.13236854366767487,0.2160498184387627,-0.05388702174529408,0.47268352108107625,Carboxylic Acid Amide
Sage 2.2.1 + AmberTools,R2,26,0.895359405434177,0.0729127878098446,0.8565021329415449,0.6750625049213529,0.95284176892928,Carboxylic Acid Amide
Sage 2.2.1 + AmberTools,rho,26,0.9462343290296419,0.03997206194404386,0.9267907738983624,0.8176729214895749,0.9781970635738362,Carboxylic Acid Amide
Sage 2.2.1 + AmberTools,RMSE,59,0.9988358961329247,0.1435885389869878,1.0334094915306997,0.7692782222258797,1.331277661223112,Carboxylic Acid Derivative
Sage 2.2.1 + AmberTools,MUE,59,0.7458478083789102,0.09129758051964787,0.7781786274507,0.6235002858658761,0.9670378627569978,Carboxylic Acid Derivative
Sage 2.2.1 + AmberTools,MSE,59,-0.44401253642396327,0.12077103586459383,-0.444912873718689,-0.6991110975063137,-0.2176614204556146,Carboxylic Acid Derivative
Sage 2.2.1 + AmberTools,R2,59,0.7050601403872526,0.09734190001423176,0.6745012488300115,0.46972639712782005,0.8464843593202923,Carboxylic Acid Derivative
Sage 2.2.1 + AmberTools,rho,59,0.839678593503045,0.06216111220257488,0.8221558885885487,0.6729620576982318,0.9194219277935324,Carboxylic Acid Derivative
Sage 2.2.1 + AmberTools,RMSE,33,1.2127404068920948,0.1951899694571112,1.2357893027439135,0.8697688388439503,1.629629184699348,Carboxylic Acid Ester
Sage 2.2.1 + AmberTools,MUE,33,0.9594640154327037,0.14193831382982358,0.9718812082970865,0.7147595285438753,1.277944332141531,Carboxylic Acid Ester
Sage 2.2.1 + AmberTools,MSE,33,-0.9594640154327037,0.14431973759350109,-0.9645592412332934,-1.2459873594425428,-0.7063704641163489,Carboxylic Acid Ester
Sage 2.2.1 + AmberTools,R2,33,0.7678911438167995,0.11055404929059416,0.7240868530195352,0.4882426975741163,0.9052799157890292,Carboxylic Acid Ester
Sage 2.2.1 + AmberTools,rho,33,0.8762939825291508,0.0656726918907702,0.8475990918364398,0.6917231185028778,0.9496606784131497,Carboxylic Acid Ester
Sage 2.2.1 + AmberTools,RMSE,7,0.9194922738554525,0.2533244512216829,0.9335638241446835,0.467355560391564,1.417075984138787,Carboxylic Acid Primary Amide
Sage 2.2.1 + AmberTools,MUE,7,0.7075874156226546,0.22867344637439177,0.746393932972586,0.3682872199663642,1.2676047747193235,Carboxylic Acid Primary Amide
Sage 2.2.1 + AmberTools,MSE,7,0.6595291471252448,0.26965888454361187,0.666142684065944,0.16662474520026116,1.2408847305440507,Carboxylic Acid Primary Amide
Sage 2.2.1 + AmberTools,R2,7,0.870940633390854,0.11500400195350645,0.8445937997746599,0.5625782632533721,0.9818530316219354,Carboxylic Acid Primary Amide
Sage 2.2.1 + AmberTools,rho,7,0.9332420015145343,0.06456049556041561,0.9189656683185327,0.777642511315242,0.9914618903412721,Carboxylic Acid Primary Amide
Sage 2.2.1 + AmberTools,RMSE,5,0.49930795195090183,0.16661831619980583,0.5597688890088489,0.25204911524545104,0.8871553919469133,Carboxylic Acid Secondary Amide
Sage 2.2.1 + AmberTools,MUE,5,0.4166181352501252,0.15428952513055197,0.49132973661732077,0.21848437347857336,0.8078476584360201,Carboxylic Acid Secondary Amide
Sage 2.2.1 + AmberTools,MSE,5,0.05294024339420469,0.2507048923071907,0.043005523135339625,-0.4910671383354467,0.5029478251435825,Carboxylic Acid Secondary Amide
Sage 2.2.1 + AmberTools,R2,5,0.7996361989123155,0.2732420859564846,0.6511994113194307,0.01905606732947864,0.9763367495530602,Carboxylic Acid Secondary Amide
Sage 2.2.1 + AmberTools,rho,5,0.8942237968832611,0.2760589447164531,0.7667532483373636,-0.060219306713921394,0.9880712815135883,Carboxylic Acid Secondary Amide
Sage 2.2.1 + AmberTools,RMSE,14,0.47535810049293087,0.10421717603216558,0.5533607191366047,0.350217954187033,0.7528670873350783,Carboxylic Acid Tertiary Amide
Sage 2.2.1 + AmberTools,MUE,14,0.3790361142476622,0.08642763405736437,0.45299157489910846,0.28893064112098976,0.6370859500410536,Carboxylic Acid Tertiary Amide
Sage 2.2.1 + AmberTools,MSE,14,0.0417262581012608,0.1537938681684024,0.03671652457191449,-0.26659011563594276,0.3349950931161198,Carboxylic Acid Tertiary Amide
Sage 2.2.1 + AmberTools,R2,14,0.6774933898597942,0.17482802098446446,0.5534273296925669,0.13231363133371635,0.8403471132706837,Carboxylic Acid Tertiary Amide
Sage 2.2.1 + AmberTools,rho,14,0.8230998662737069,0.13186356481432807,0.7327707212564767,0.40851110641313204,0.9150817836414447,Carboxylic Acid Tertiary Amide
Sage 2.2.1 + AmberTools,RMSE,72,0.7079835551061255,0.06545801653580836,0.7697975816744956,0.6541573466541095,0.9070487633488353,Dialkylether
Sage 2.2.1 + AmberTools,MUE,72,0.5730372318256632,0.05337909834281095,0.6274264815101851,0.5213524932580279,0.733346962453709,Dialkylether
Sage 2.2.1 + AmberTools,MSE,72,-0.2561038783431705,0.08806122724401086,-0.25156461418991527,-0.4144139039885937,-0.07252050895235602,Dialkylether
Sage 2.2.1 + AmberTools,R2,72,0.9308834417593647,0.03684347245085134,0.907915099462083,0.8214212448367983,0.9544286731166679,Dialkylether
Sage 2.2.1 + AmberTools,rho,72,0.9648230105876233,0.02066009363031453,0.9517171424256715,0.895915429590902,0.9763326639843434,Dialkylether
Sage 2.2.1 + AmberTools,RMSE,83,0.6699263148395371,0.06076512302281267,0.7351070597611028,0.6227501237107311,0.8642995085650625,Ether
Sage 2.2.1 + AmberTools,MUE,83,0.5353030235120101,0.04827565130161805,0.5890435133669542,0.4960734287115476,0.6851253812437473,Ether
Sage 2.2.1 + AmberTools,MSE,83,-0.19691140997675044,0.07811968911775247,-0.1973665714137761,-0.35173123617514984,-0.045698847722298784,Ether
Sage 2.2.1 + AmberTools,R2,83,0.9239783657890738,0.03941648920168609,0.897726865855837,0.8016194936524187,0.9485876864345744,Ether
Sage 2.2.1 + AmberTools,rho,83,0.9612379340148166,0.021579471727340642,0.9477046659519476,0.8954320483230261,0.9742991720686119,Ether
Sage 2.2.1 + AmberTools,RMSE,57,1.086375386374231,0.18392717905081624,1.114708902447866,0.7484205063484243,1.4848669269309271,Halogen Derivative
Sage 2.2.1 + AmberTools,MUE,57,0.7038975471859467,0.11344423340049894,0.7595056500071549,0.56446933554258,0.9993756746178096,Halogen Derivative
Sage 2.2.1 + AmberTools,MSE,57,0.029096687803531193,0.14941792217526248,0.024737009445815375,-0.2755448543490193,0.3333772032314748,Halogen Derivative
Sage 2.2.1 + AmberTools,R2,57,0.8358616948071133,0.05544167611061112,0.8253027508098635,0.707251954919583,0.9215042439284303,Halogen Derivative
Sage 2.2.1 + AmberTools,rho,57,0.9142547209651768,0.03199609717277427,0.9075670298215189,0.8354649802620893,0.9601325011662316,Halogen Derivative
Sage 2.2.1 + AmberTools,RMSE,74,1.0283679208561796,0.1564025902592762,1.06290388123113,0.7676824736743475,1.3755788094776806,Heterocycle
Sage 2.2.1 + AmberTools,MUE,74,0.6910094439737807,0.09080345987600427,0.7394804186432669,0.5767628189105313,0.9391658223108423,Heterocycle
Sage 2.2.1 + AmberTools,MSE,74,-0.22945609687048582,0.12390717390095857,-0.2305863096113676,-0.47453839472629655,0.008748348780010953,Heterocycle
Sage 2.2.1 + AmberTools,R2,74,0.8296877891897617,0.12901983000181858,0.7856102325942094,0.3774457245468945,0.923033608135158,Heterocycle
Sage 2.2.1 + AmberTools,rho,74,0.9108719938552082,0.08542239673427504,0.8807859117341362,0.5846620722087529,0.9622273368332624,Heterocycle
Sage 2.2.1 + AmberTools,RMSE,117,0.869259371640123,0.09748533985585879,0.9204168485780624,0.7460434525973283,1.1151462783586479,Hydroxy
Sage 2.2.1 + AmberTools,MUE,117,0.6276918817628881,0.05808508481349637,0.6762604943460672,0.5698403624480702,0.7957306374858925,Hydroxy
Sage 2.2.1 + AmberTools,MSE,117,0.11183272211289988,0.08445384364177672,0.11290245588726715,-0.05534473698982038,0.271952474748625,Hydroxy
Sage 2.2.1 + AmberTools,R2,117,0.8919188034731428,0.03229039525300886,0.876833152534942,0.8033549452107159,0.9291949502036271,Hydroxy
Sage 2.2.1 + AmberTools,rho,117,0.9444145294695243,0.018352134518586208,0.9349495212727817,0.8943725670879321,0.965139776291541,Hydroxy
Sage 2.2.1 + AmberTools,RMSE,53,0.42018088668604187,0.05519831894479705,0.5161418838383091,0.40783205504809655,0.630719886797509,Ketone
Sage 2.2.1 + AmberTools,MUE,53,0.2977599230824038,0.0441324909315112,0.4002123734707754,0.3163160307090007,0.491154457738283,Ketone
Sage 2.2.1 + AmberTools,MSE,53,-0.17132738755656032,0.06806435242818416,-0.17097910964212673,-0.3061287517887775,-0.035349768459368575,Ketone
Sage 2.2.1 + AmberTools,R2,53,0.8887291472071439,0.08633905609575797,0.7750891289192396,0.5599026660378498,0.8932599978131587,Ketone
Sage 2.2.1 + AmberTools,rho,53,0.9427243219558644,0.049556042385274064,0.8755347742056608,0.750301427118581,0.9438371184119655,Ketone
Sage 2.2.1 + AmberTools,RMSE,4,2.5929492636940132,0.7070099066914928,2.514480789061901,1.3149542756661268,3.8849643538780767,Oxohetarene
Sage 2.2.1 + AmberTools,MUE,4,2.2552916483121312,0.6773023093726979,2.2549806108019657,1.0514506094211558,3.760029912231786,Oxohetarene
Sage 2.2.1 + AmberTools,MSE,4,1.8828263666753196,0.9064183386397967,1.8954918181528775,0.008387712626381827,3.7256849321543366,Oxohetarene
Sage 2.2.1 + AmberTools,R2,4,0.8300638702649273,0.2421273881522659,0.8166873561275654,0.09069960117235154,0.9982525392397611,Oxohetarene
Sage 2.2.1 + AmberTools,rho,4,0.9110784106019237,0.44330552376865373,0.7793432251045963,-0.9101430817400112,0.9992408989655971,Oxohetarene
Sage 2.2.1 + AmberTools,RMSE,29,0.9669109875561173,0.20160956815956876,0.9943417990542355,0.6079754677922758,1.3996642120096214,Phenol
Sage 2.2.1 + AmberTools,MUE,29,0.6620619077812514,0.1331126001840704,0.7104292275940575,0.4765621370887516,0.9914319631929092,Phenol
Sage 2.2.1 + AmberTools,MSE,29,0.29855083185042836,0.18581455484162823,0.2893185267875317,-0.08549063433756231,0.638513153986068,Phenol
Sage 2.2.1 + AmberTools,R2,29,0.7273992674238345,0.14583274936252677,0.6970090049580802,0.37159759069353393,0.9239164016440544,Phenol
Sage 2.2.1 + AmberTools,rho,29,0.8528770529354359,0.08902392840486416,0.8332651667265233,0.616504569932752,0.9597206141476251,Phenol
Sage 2.2.1 + AmberTools,RMSE,16,1.4399441244860727,0.21030064304015209,1.470870998232805,1.0731043157775488,1.8662048980116732,Phosphoric Acid Derivative
Sage 2.2.1 + AmberTools,MUE,16,1.2517733307828915,0.1995524144383452,1.2530349498968323,0.8620301314009265,1.643231965582936,Phosphoric Acid Derivative
Sage 2.2.1 + AmberTools,MSE,16,-1.100951163373228,0.248182688070685,-1.1000711175491225,-1.5987573164702038,-0.6420109370264383,Phosphoric Acid Derivative
Sage 2.2.1 + AmberTools,R2,16,0.9631869650268777,0.03484967658621003,0.9308732955977091,0.849343419610729,0.979927161044435,Phosphoric Acid Derivative
Sage 2.2.1 + AmberTools,rho,16,0.9814208908653197,0.01789588937031957,0.9646818981734512,0.9233793239674151,0.989476320770734,Phosphoric Acid Derivative
Sage 2.2.1 + AmberTools,RMSE,16,1.4399441244860727,0.21583510511288206,1.4707401044651123,1.059593591872415,1.8940411420511367,Phosphoric Acid Ester
Sage 2.2.1 + AmberTools,MUE,16,1.2517733307828915,0.1888255099060624,1.2525741006555555,0.8922863311451088,1.63586995683685,Phosphoric Acid Ester
Sage 2.2.1 + AmberTools,MSE,16,-1.100951163373228,0.25993613118918163,-1.1095579303399299,-1.6208084363494275,-0.5920649267474698,Phosphoric Acid Ester
Sage 2.2.1 + AmberTools,R2,16,0.9631869650268777,0.034935013925189294,0.9312090475963273,0.8442200533060519,0.9789547808116916,Phosphoric Acid Ester
Sage 2.2.1 + AmberTools,rho,16,0.9814208908653197,0.018544299182644195,0.9636401655186103,0.9178476645695802,0.9879190893417271,Phosphoric Acid Ester
Sage 2.2.1 + AmberTools,RMSE,81,0.8618228911558119,0.11463799369752549,0.9114499092949192,0.7186689179423786,1.1541062003241656,Primary Alcohol
Sage 2.2.1 + AmberTools,MUE,81,0.6455787131860373,0.06871506586989728,0.6930042700778463,0.5673778970149964,0.8383673211931366,Primary Alcohol
Sage 2.2.1 + AmberTools,MSE,81,0.10229502914378528,0.10085212194577575,0.10162088039319406,-0.10537963759570486,0.2923448329213868,Primary Alcohol
