FF,stat,n,mle,stderr,mean,low,high,group
Sage 2.2.1 + AshGC,RMSE,382,0.778534646720442,0.05325530788336377,0.8337900108887977,0.7291154948287196,0.9481590754087481,All
Sage 2.2.1 + AshGC,MUE,382,0.54451158850394,0.02886878007361533,0.6032867499152853,0.5499508121645204,0.6606889226630416,All
Sage 2.2.1 + AshGC,MSE,382,-0.030565957284408536,0.04279845979783292,-0.031040813393058902,-0.11530828136054798,0.05381386539957292,All
Sage 2.2.1 + AshGC,R2,382,0.8729466884153271,0.020665937841814003,0.854385385436604,0.8084947995178584,0.8924538194544918,All
Sage 2.2.1 + AshGC,rho,382,0.9343161608445654,0.011016019993461636,0.9234518055386256,0.9002019582840333,0.9430252776774215,All
Sage 2.2.1 + AshGC,RMSE,91,0.8193462176279851,0.11052241007520215,0.8754615416836612,0.6841535520479142,1.1123322957116897,Alcohol
Sage 2.2.1 + AshGC,MUE,91,0.5960568183593733,0.06089043350283182,0.6444485209764496,0.531935134239072,0.7716444062283441,Alcohol
Sage 2.2.1 + AshGC,MSE,91,0.0665298076428878,0.08931733541063705,0.0677736882677016,-0.11899215702707046,0.23554173243936552,Alcohol
Sage 2.2.1 + AshGC,R2,91,0.8664295619916991,0.06354806161007766,0.8330548861852237,0.6945250190927027,0.9281355213377978,Alcohol
Sage 2.2.1 + AshGC,rho,91,0.9308219819018563,0.03483123481562713,0.9127403002233052,0.825813723551363,0.9648376659180806,Alcohol
Sage 2.2.1 + AshGC,RMSE,19,0.8822372640899333,0.20754434000625938,0.9095721039742753,0.5563194201791943,1.3378983549601466,Aldehyde
Sage 2.2.1 + AshGC,MUE,19,0.6259345955667565,0.14060422595752525,0.6771649261878531,0.43056017921039613,0.9918055936035559,Aldehyde
Sage 2.2.1 + AshGC,MSE,19,0.2632342706749373,0.21786466560594156,0.26325834805943393,-0.13090881416328046,0.7295181810366663,Aldehyde
Sage 2.2.1 + AshGC,R2,19,0.9287675068127096,0.04024465974807831,0.9220771731658055,0.8234866969033432,0.9774170887105555,Aldehyde
Sage 2.2.1 + AshGC,rho,19,0.9637258462927668,0.020789363089294622,0.9596605167884916,0.9104597472604985,0.9877920405623364,Aldehyde
Sage 2.2.1 + AshGC,RMSE,138,0.7145229640626299,0.10705981205427714,0.7707141824365997,0.577855497508713,0.9853620230559502,Alkane
Sage 2.2.1 + AshGC,MUE,138,0.4772614266578847,0.045497047140649366,0.5354813800843644,0.45066859426724903,0.6323315493205781,Alkane
