,Index,Id,SMIRKS,Attribute,smiles_1,smiles_2,property_type,property_id,pval,grad_contribution
30115,19,n14,[#6:1],epsilon,CN1CCCC1=O,c1ccncc1,Density,dens_1059919274311274879,0.8868671446208052,-0.0333129914576883
30223,19,n14,[#6:1],epsilon,CN1CCCC1=O,c1ccncc1,Density,dens_2199047009222847682,0.7897419130775366,-0.0328797226256349
5383,19,n14,[#6:1],epsilon,OC1=NCCC1,c1ccncc1,Density,dens_617740093035429712,0.6194757329210105,-0.0325994735681553
4483,19,n14,[#6:1],epsilon,CC(=O)c1ccccc1,CC(C)O,Density,dens_91454082453656404,1.6647549472194754,-0.0324599147130452
4591,19,n14,[#6:1],epsilon,CC(=O)c1ccccc1,CC(C)O,EnthalpyOfMixing,dhmix_1482394504883204224,42.281053007467904,-0.0323518691559113
16183,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCCCc1ccccc1,Density,dens_603450583692592837,2.036076279078603,-0.0322781953496464
30331,19,n14,[#6:1],epsilon,c1cc[nH]c1,c1ccccc1,Density,dens_1366042600317618213,2.1368945903542276,-0.0320226686602338
31015,19,n14,[#6:1],epsilon,COc1ccccc1,OCCc1ccccc1,Density,dens_2018050376435813399,1.4349133704876549,-0.0319902890954646
39763,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCCc1ccccc1,Density,dens_1226224986443053492,1.8222248642394785,-0.0318695477080837
38503,19,n14,[#6:1],epsilon,Cc1ccccc1N,c1ccncc1,EnthalpyOfMixing,dhmix_1371524052813651708,30.971669512468367,-0.0317543567769119
18307,19,n14,[#6:1],epsilon,COc1ccccc1,OCCCc1ccccc1,Density,dens_1534619098234859574,1.4664493720958172,-0.0317052475354736
40231,19,n14,[#6:1],epsilon,Cn1ccnc1,O,Density,dens_1634862053132906887,0.8926189092746859,-0.0310493887199335
31591,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccc1C,Density,dens_643927890193937545,1.030143980339174,-0.0305815302459002
34219,19,n14,[#6:1],epsilon,CCCOC(=O)CC,Cc1ccccc1,Density,dens_1397630560016316656,1.614246376129186,-0.0303335224489077
2539,19,n14,[#6:1],epsilon,C=CCCCC,CCCO,Density,dens_2024397702416079279,0.9114068692486726,-0.0299724278738929
31087,19,n14,[#6:1],epsilon,COc1ccccc1,OCCc1ccccc1,Density,dens_2108796896152795987,1.510342502463155,-0.0285440874532104
18091,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccc1,Density,dens_1397318239527979287,1.199124419561756,-0.0283725099204842
29971,19,n14,[#6:1],epsilon,CC(C)OC(C)C,Cc1ccccc1,Density,dens_2086775654110573795,1.95090323676378,-0.0281336944506056
20683,19,n14,[#6:1],epsilon,CCCCCCC,c1ccccc1,Density,dens_2219829254239605828,1.1831871357102348,-0.0277567065372386
7579,19,n14,[#6:1],epsilon,CC(C)=O,Nc1ccccc1,EnthalpyOfMixing,dhmix_1461699545612032563,-32.68284435154615,-0.0273365941846454
12259,19,n14,[#6:1],epsilon,Clc1ccccc1,c1ccccc1,Density,dens_796537469137871297,2.7132998271389757,-0.0267709035820711
21943,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1cccnc1,Density,dens_344701479262570906,1.3205950679886294,-0.0262892308510639
3079,19,n14,[#6:1],epsilon,CCCCCC,Cc1ccccc1,Density,dens_574637447996217594,1.0305564192183436,-0.0261774905458979
38863,19,n14,[#6:1],epsilon,CCCO,O=Cc1ccccc1,Density,dens_1586325098516354010,1.2981661987605737,-0.0257566798995147
36343,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCc1ccccc1,Density,dens_1575045736805268459,1.658737149128313,-0.0257210509803254
36379,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCc1ccccc1,Density,dens_2214650701288997434,1.627835925501168,-0.0255071690843182
15499,19,n14,[#6:1],epsilon,CCCC#N,c1ccccc1,Density,dens_841576887891022329,1.503266230467275,-0.0254119034556594
18343,19,n14,[#6:1],epsilon,COc1ccccc1,OCCCc1ccccc1,Density,dens_2298154173340539222,1.3122978297237262,-0.0253800255270056
8803,19,n14,[#6:1],epsilon,CCC(C)=O,CNc1ccccc1,Density,dens_414028029115294252,0.8718235593375977,-0.0253453439950087
34687,19,n14,[#6:1],epsilon,CN1CCCC1=O,Cc1ccccc1,Density,dens_693154680723850561,0.6483395097268339,-0.025341276127816
18595,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccc1Cl,Density,dens_275501958869207518,1.6615946712540497,-0.0252188337320774
9163,19,n14,[#6:1],epsilon,C=CCCCC,CCCCO,Density,dens_1967827958045932694,0.7931535942871539,-0.0250014173328209
3331,19,n14,[#6:1],epsilon,CN(C)C=O,Cc1ccccc1Cl,Density,dens_818042132181297482,0.7714654650334696,-0.0248072261734719
55,19,n14,[#6:1],epsilon,C1CCCCC1,Cc1ccccc1,Density,dens_191923210986624643,0.7257431722259224,-0.0246624036346539
343,19,n14,[#6:1],epsilon,CCC(C)=O,Nc1ccccc1,Density,dens_1388487494953421117,0.6960442550314075,-0.0245391128357889
1351,19,n14,[#6:1],epsilon,CCOC(C)(C)C,Cc1ccccc1,Density,dens_499290591626962121,1.7023026240387569,-0.0239850171896725
26011,19,n14,[#6:1],epsilon,CCOCCO,c1ccccc1,Density,dens_2128846755225827916,1.4678183884665512,-0.0238997448033076
4555,19,n14,[#6:1],epsilon,CC(=O)c1ccccc1,CC(C)O,EnthalpyOfMixing,dhmix_1214494501247401592,40.481671945025255,-0.023576963508028
27379,19,n14,[#6:1],epsilon,O,OC1=NCCC1,Density,dens_929065521104254808,0.3921415813262818,-0.0235496017860541
9667,19,n14,[#6:1],epsilon,COc1ccccc1,OCc1ccccc1,Density,dens_844721400884986444,1.4760622129741898,-0.0233505251847222
36271,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCc1ccccc1,Density,dens_1184318999137642715,1.9514430235833484,-0.0231710758034592
14959,19,n14,[#6:1],epsilon,CC#N,c1ccccc1,Density,dens_1457706963514561052,1.6629659403862165,-0.0229786840783597
7111,19,n14,[#6:1],epsilon,c1cc[nH]c1,c1ccncc1,EnthalpyOfMixing,dhmix_582184351339863568,-9.206371978288246,-0.0229542265693715
39871,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCCc1ccccc1,Density,dens_1419265414647987466,1.3848078583818546,-0.0228710451319024
14779,19,n14,[#6:1],epsilon,CNc1ccccc1,Cc1ccccc1,Density,dens_2156484405108449314,2.2165155638604612,-0.0228495524008903
39547,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccncc1,Density,dens_1159403686634788877,1.460034542725403,-0.0225692682112784
16147,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCCCc1ccccc1,Density,dens_391027492102555874,1.2701353609749668,-0.0216482559194748
16255,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCCCc1ccccc1,Density,dens_1659818614169719187,1.2096147203756735,-0.021563003426821
40195,19,n14,[#6:1],epsilon,Cn1ccnc1,O,Density,dens_1266839724964377205,0.9066893243252254,-0.0215523483305728
6571,19,n14,[#6:1],epsilon,C1CCCCC1,c1ccccc1,Density,dens_1871885279620492514,0.6335363663790925,-0.020750392145223
39799,19,n14,[#6:1],epsilon,CCOc1ccccc1,OCCc1ccccc1,Density,dens_1288457717872177367,1.2027985430841808,-0.0205157042453602
18379,19,n14,[#6:1],epsilon,CCCCOC(C)=O,c1ccccc1,Density,dens_274848672468745759,1.7291565042679955,-0.020512765248404
29539,19,n14,[#6:1],epsilon,CCCCO,OC1=NCCC1,Density,dens_1878955695276199878,0.409146456075032,-0.0199763085461722
3439,19,n14,[#6:1],epsilon,CN(C)C=O,Cc1ccccc1Cl,EnthalpyOfMixing,dhmix_1992689527814967541,43.482552259230715,-0.0199401671414393
8839,19,n14,[#6:1],epsilon,CCC(C)=O,CNc1ccccc1,Density,dens_559789475978651659,1.2179164384751338,-0.0199174656151372
33859,19,n14,[#6:1],epsilon,C=C(C)[C@H]1CC=C(C)CC1,CCCCCO,Density,dens_2014432371647189246,0.7469544451462247,-0.0198267188132005
12871,19,n14,[#6:1],epsilon,CCCCOCCO,c1ccccc1,Density,dens_172622055198885625,1.1410839233828278,-0.0198136126115966
14599,19,n14,[#6:1],epsilon,CNc1ccccc1,Cc1ccccc1,EnthalpyOfMixing,dhmix_199788824133179829,-38.66416145357939,-0.0196904928522676
20755,19,n14,[#6:1],epsilon,BrCCBr,CCC(=O)OC,Density,dens_326446104630354701,0.3255601026085872,-0.0195740527235242
18703,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccc1Cl,Density,dens_946978292781731327,1.200929847798378,-0.0195056994170899
27559,19,n14,[#6:1],epsilon,BrCCBr,COC=O,Density,dens_502738970558558534,0.317428210246653,-0.0194042813035522
4231,19,n14,[#6:1],epsilon,CN1CCCC1=O,c1ccccc1,Density,dens_42678158079716854,0.4541345549929083,-0.0193784467058717
13879,19,n14,[#6:1],epsilon,C1COCCO1,Cc1ccccc1Cl,Density,dens_2161584607380261748,2.031216649436065,-0.0192674185858932
19891,19,n14,[#6:1],epsilon,BrCCBr,COC(C)=O,Density,dens_314482396827660717,0.2953162822526347,-0.0190862122334993
32707,19,n14,[#6:1],epsilon,C1CCCCC1,CNc1ccccc1,Density,dens_1438140901521078017,1.0108123804560727,-0.0188445734313349
22051,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1cccnc1,Density,dens_1273033541520518804,0.9076197579168994,-0.0185909758964316
4303,19,n14,[#6:1],epsilon,CN1CCCC1=O,c1ccccc1,EnthalpyOfMixing,dhmix_524477957640851666,-61.965618394055525,-0.0184790281599624
8047,19,n14,[#6:1],epsilon,CC(=O)N(C)C,ClCCCl,Density,dens_1909242265481868478,0.3629722569398375,-0.0181817679994631
12835,19,n14,[#6:1],epsilon,BrCCBr,CCOC(=O)CC,Density,dens_1660732943693703463,0.3643849932473466,-0.0179405670696401
34579,19,n14,[#6:1],epsilon,BrCCCBr,COC(C)=O,Density,dens_1180265274183315765,0.2587460223483314,-0.0176160662305476
32995,19,n14,[#6:1],epsilon,CC(C)=O,CNc1ccccc1,Density,dens_1302333367899693905,1.0160395986747786,-0.0171149393192243
27343,19,n14,[#6:1],epsilon,O,OC1=NCCC1,Density,dens_501060706627477242,0.261847114225995,-0.0171052995229316
23311,19,n14,[#6:1],epsilon,CC(=O)N(C)C,CCCCCl,Density,dens_1083232356130752567,0.342358021079994,-0.0168099175422948
19999,19,n14,[#6:1],epsilon,BrCCBr,COC(C)=O,Density,dens_714044009336077786,0.4655725890775853,-0.0165917099287778
5203,19,n14,[#6:1],epsilon,CC(=O)CC(C)C,CCC(C)(C)O,EnthalpyOfMixing,dhmix_998794233701009996,12.51463373408678,-0.0165237009580393
39619,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccncc1,Density,dens_1586440979425114987,0.9699623593682634,-0.0164737413919261
17947,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccc1,Density,dens_270046772857960816,0.7165195600642937,-0.0159992973891027
34651,19,n14,[#6:1],epsilon,BrCCCBr,COC(C)=O,Density,dens_1697077234757321859,0.3580432115561939,-0.0159332424081248
34291,19,n14,[#6:1],epsilon,CCCOC(=O)CC,Cc1ccccc1,Density,dens_1792064777238352129,1.0196379740727326,-0.0159019472553786
36523,19,n14,[#6:1],epsilon,C1CCOCC1,c1ccncc1,Density,dens_1859030547600172702,1.5473535395642528,-0.015732990847568
9055,19,n14,[#6:1],epsilon,C=CCCCC,CCCCO,Density,dens_417191245012747241,0.5593938012865209,-0.0157085265027115
28351,19,n14,[#6:1],epsilon,O,O=C1CCCO1,Density,dens_2198925124601089428,0.3345927210765246,-0.0155715082771651
38071,19,n14,[#6:1],epsilon,BrCCBr,CCOC=O,Density,dens_1857279480363338972,0.298525951718787,-0.0155614235676696
36595,19,n14,[#6:1],epsilon,C1CCOCC1,c1ccncc1,Density,dens_2239470871208865925,0.9987302116203264,-0.0152305181776331
2467,19,n14,[#6:1],epsilon,C=CCCCC,CCCO,Density,dens_294296714501123310,0.5097934704065268,-0.0151498579286059
28387,19,n14,[#6:1],epsilon,O,O=C1CCCO1,Density,dens_2272207838075726438,0.3744436889496162,-0.0151054359669603
27415,19,n14,[#6:1],epsilon,O,OC1=NCCC1,EnthalpyOfMixing,dhmix_1128968771311392860,-6.797878329911882,-0.0148650692170114
40951,19,n14,[#6:1],epsilon,CC(=O)N(C)C,CCOC(C)=O,Density,dens_1601780542508306264,0.3408004669370592,-0.0146764052014273
40267,19,n14,[#6:1],epsilon,Cn1ccnc1,O,Density,dens_1681126092995837883,0.3733684863341338,-0.0146584361895436
19351,19,n14,[#6:1],epsilon,CC(C)=O,CCO,Density,dens_305501840068636812,0.5480792978376017,-0.0142551294080593
4879,19,n14,[#6:1],epsilon,BrCCCBr,COC=O,Density,dens_47347406470845261,0.1900900162633166,-0.0141726800521984
20791,19,n14,[#6:1],epsilon,BrCCBr,CCC(=O)OC,Density,dens_886315086380393150,0.3597469511161717,-0.0140120255624795
32779,19,n14,[#6:1],epsilon,C1CCCCC1,CNc1ccccc1,EnthalpyOfMixing,dhmix_1832297119731463766,-13.519863096118002,-0.0140021576316512
32743,19,n14,[#6:1],epsilon,C1CCCCC1,CNc1ccccc1,Density,dens_1482697199055102595,0.5002406466192536,-0.0137262550194025
33823,19,n14,[#6:1],epsilon,C=C(C)[C@H]1CC=C(C)CC1,CCCCCO,Density,dens_1638649899512334435,0.5895509639105678,-0.0136962066909077
17767,19,n14,[#6:1],epsilon,C1CCOCC1,c1ccccc1,Density,dens_1402061243325720407,0.6614842293822205,-0.0136925096075191
31699,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccc1C,Density,dens_1442497603142913792,0.5432559021429754,-0.0136877080365342
