,FF,stat,n,mle,stderr,mean,low,high,group
0,Null 4-mer AAQAA3-2 + OPC3,RMSE,151,0.029156150017097253,0.0029037467902988654,0.02918279276550765,0.02395881091081561,0.03528813989417777,All
1,Null 4-mer AAQAA3-2 + OPC3,MUE,151,0.019830706600596677,0.0017011311971928391,0.020316970265243015,0.017187675144575264,0.023690905325831894,All
2,Null 4-mer AAQAA3-2 + OPC3,MSE,151,-0.0010513858356378594,0.0023528594554333786,-0.0010172014955004412,-0.005534961515086458,0.0038947718242724554,All
3,Null 4-mer AAQAA3-2 + OPC3,R2,151,0.9848002951034746,0.005754507257557561,0.9834853532664622,0.9698997033130975,0.992050953166579,All
4,Null 4-mer AAQAA3-2 + OPC3,rho,151,0.9923710470904893,0.0027411024631991666,0.9918453248146334,0.9850509986745375,0.9959440901778245,All
5,Null AAQAA3-3 + OPC3,RMSE,151,0.028922052327506154,0.0027593104659119094,0.029193718504473134,0.0239739115852142,0.034777678249449766,All
6,Null AAQAA3-3 + OPC3,MUE,151,0.02021672642878478,0.001694938632493336,0.020499344150193416,0.017270346960383497,0.024104206277447214,All
7,Null AAQAA3-3 + OPC3,MSE,151,-0.004297008998868652,0.0024107773539146426,-0.0043206728984189965,-0.009055272397694124,0.0005485180046323328,All
8,Null AAQAA3-3 + OPC3,R2,151,0.9854449797440742,0.005137073150953418,0.9839251255675827,0.9723952240636302,0.9921707436899347,All
9,Null AAQAA3-3 + OPC3,rho,151,0.9926958143077236,0.002604334426500544,0.9919459379057433,0.98588361634937,0.9960701957487037,All
10,Sage 2.0.0,RMSE,151,0.027868224549775136,0.002953688052871462,0.028230262535901475,0.022511837031908028,0.03410781955760605,All
11,Sage 2.0.0,MUE,151,0.01841745790855082,0.0017134243711718943,0.018886481183613767,0.015730165146586823,0.022411241131938184,All
12,Sage 2.0.0,MSE,151,0.0026427843329867484,0.002307015432155596,0.0024936724326294407,-0.001962489211271523,0.007148735680725936,All
13,Sage 2.0.0,R2,151,0.985857569537811,0.005045220865449512,0.9847497640765324,0.9728681708796579,0.9923789496027702,All
14,Sage 2.0.0,rho,151,0.9929036053604653,0.00256457495330618,0.9922389037253293,0.9864649835081531,0.9960681808998912,All
15,Sage 2.1.0,RMSE,151,0.028862357156868364,0.003206075223752494,0.029025702795604326,0.023060442196196282,0.03518211402834266,All
16,Sage 2.1.0,MUE,151,0.019297910247643792,0.0017588786120042155,0.01964177230917525,0.016519837009122493,0.02330910836725182,All
17,Sage 2.1.0,MSE,151,0.0029199656262346536,0.002439184668074576,0.002964509545201377,-0.0016731331543705197,0.008082527857763061,All
18,Sage 2.1.0,R2,151,0.9847817920703716,0.005765596094527256,0.9834533685906356,0.9702510770709494,0.9920762622720525,All
19,Sage 2.1.0,rho,151,0.9923617244081772,0.002732186741441484,0.991776081581814,0.9852939243306198,0.9959502282769616,All
20,Sage 2.2.1,RMSE,151,0.02786412665106826,0.002851488776706731,0.028166890229190288,0.02266055588403799,0.03376635723113745,All
21,Sage 2.2.1,MUE,151,0.01932202473462389,0.001635165828338187,0.019708709144649814,0.0166817242506098,0.023154011561231456,All
22,Sage 2.2.1,MSE,151,-0.003641461669034788,0.002290838356837291,-0.0038355709710436348,-0.007924820831900931,0.0012490222831644385,All
23,Sage 2.2.1,R2,151,0.9860879291357793,0.004938147547889757,0.9849764520750331,0.9735219805472647,0.9928633716104017,All
24,Sage 2.2.1,rho,151,0.9930196015868865,0.002608387438050688,0.9924328119267627,0.9865861994277487,0.9964417345516055,All
25,Sage 2.2.1 + AshGC,RMSE,151,0.027759592027621845,0.0026148450348308246,0.028136532530985546,0.023163786229338793,0.033483752709776694,All
26,Sage 2.2.1 + AshGC,MUE,151,0.019686025718121766,0.0015755842165688103,0.020038360777293304,0.01699763612500642,0.023293030244257662,All
27,Sage 2.2.1 + AshGC,MSE,151,-0.00418098069182094,0.0023277617635690875,-0.004157954021855015,-0.008549222398489794,0.00020620033744590604,All
28,Sage 2.2.1 + AshGC,R2,151,0.986412940753525,0.0047391588083885985,0.9852204986415171,0.9742082967963762,0.9924511052878338,All
29,Sage 2.2.1 + AshGC,rho,151,0.9931832362427011,0.0024621753113627425,0.9925620629776988,0.9868639504833979,0.9962640693227396,All
30,Sage 2.3.0rc1,RMSE,151,0.024157462352861522,0.0021232426891938183,0.02450551777325221,0.020554238380097598,0.028702916356317994,All
31,Sage 2.3.0rc1,MUE,151,0.017502180710619663,0.0014182558662193102,0.017966867727635474,0.015472115581925636,0.020809979620764477,All
32,Sage 2.3.0rc1,MSE,151,0.0009544746547150257,0.002060764725180883,0.0009490287925967056,-0.0029429556054513186,0.005128674664089581,All
33,Sage 2.3.0rc1,R2,151,0.9892974493160296,0.003552686822371678,0.9884237439520589,0.9798630149400154,0.9935896575578441,All
34,Sage 2.3.0rc1,rho,151,0.9946343294477774,0.0018506339320490807,0.9941078220690882,0.9898612596527425,0.9969309351096847,All
35,smee-v2,RMSE,151,0.030077913282020412,0.0035862164898324647,0.030342466515416135,0.023480130706116875,0.037809240746880225,All
36,smee-v2,MUE,151,0.01930143575905944,0.0018934947489085542,0.0198551896331718,0.016222227577451225,0.023987459179887604,All
37,smee-v2,MSE,151,0.009590732528597592,0.00240786390895052,0.009702497978975308,0.005252427626495337,0.014694159028300038,All
38,smee-v2,R2,151,0.9848821544664218,0.0054513386543589585,0.983525294044986,0.9710455025960467,0.9916415196854853,All
39,smee-v2,rho,151,0.9924122905659831,0.002704662196267871,0.9918883950286702,0.9846185887756208,0.9957850899871183,All
