FF,stat,n,mle,stderr,mean,low,high,group
v1-k100,RMSE,1212,0.015688328107037987,0.0006145550578689057,0.015794453371842796,0.014664849799191824,0.017041857990307923,All
v1-k100,MUE,1212,0.01071513454159865,0.00032528408641624543,0.01080657823493901,0.010176034650549096,0.011462442382698515,All
v1-k100,MSE,1212,0.0038678319273390935,0.0004304966348837929,0.003867477959730687,0.003010485439111323,0.004710698720196544,All
v1-k100,R2,1212,0.9954829201031454,0.0005265105383810918,0.9954023300201625,0.9943244450975033,0.9963130448319159,All
v1-k100,rho,1212,0.9977389037735003,0.0002531998979512701,0.9977053412004395,0.9971968972916471,0.9981657163664942,All
v1-k100,RMSE,12,0.03285000310586353,0.004920728278620814,0.03269037881241509,0.02248102599438063,0.0416193312280563,"1,2 Aminoalcohol"
v1-k100,MUE,12,0.027564830264235885,0.005074086649374987,0.02766557648598188,0.018299999996154014,0.03819484911543509,"1,2 Aminoalcohol"
v1-k100,MSE,12,0.025792278078793574,0.005929398206947423,0.02576700742886498,0.013814957721302793,0.03767991902461528,"1,2 Aminoalcohol"
v1-k100,R2,12,0.7975987014504805,0.08949684248861876,0.8035366223228737,0.6001222932461702,0.9499880600078439,"1,2 Aminoalcohol"
v1-k100,rho,12,0.893083815467776,0.048368384378920236,0.8932541150263688,0.7872049096297615,0.9741398311788185,"1,2 Aminoalcohol"
v1-k100,RMSE,15,0.009414562126598872,0.0015155262751342816,0.009439942139516344,0.0069034610367218995,0.012686175028663156,"1,2 Diol"
v1-k100,MUE,15,0.008047540719381466,0.0013037812197856122,0.008037812759388757,0.005697304606456773,0.010712717456265008,"1,2 Diol"
v1-k100,MSE,15,0.0069714864717145865,0.0016736261066608348,0.007000183509241006,0.00389700008716037,0.010404108959481361,"1,2 Diol"
v1-k100,R2,15,0.9955235778827807,0.0036811591366745842,0.9947055963593122,0.9856987931436391,0.9990247195620753,"1,2 Diol"
v1-k100,rho,15,0.9977592785250261,0.0018213908343324302,0.9974878931356945,0.9936001221020879,0.9995617212906692,"1,2 Diol"
v1-k100,RMSE,13,0.012435718541236512,0.0017754182374248072,0.012364621393926738,0.008729681030090334,0.015721051478909825,Acetal
v1-k100,MUE,13,0.010571055842202859,0.0018757127078733984,0.010544814893888045,0.006841185664989966,0.014346298196372556,Acetal
v1-k100,MSE,13,0.010274745917295474,0.0019057202122959743,0.010276008899959586,0.006727157879085724,0.014087068126872522,Acetal
v1-k100,R2,13,0.9973357690867932,0.001920054780986942,0.9971358302522767,0.9925939731688693,0.9998355056038164,Acetal
v1-k100,rho,13,0.9986669960936891,0.0010247278786963275,0.9984865618544985,0.9960120097018371,0.9999022994603045,Acetal
v1-k100,RMSE,411,0.01615636822673308,0.0010019933025679326,0.016256022279490107,0.014404589558536726,0.018298844676530385,Alcohol
v1-k100,MUE,411,0.011103320770678576,0.0005897319311292102,0.011239754726967461,0.010184989341986682,0.012377970969101678,Alcohol
v1-k100,MSE,411,0.004853105945146837,0.0007511717750801755,0.004865850379819685,0.0033018286844644805,0.006413883523410009,Alcohol
v1-k100,R2,411,0.9876199797168084,0.0017290570724848783,0.9873045359391451,0.9837553167856903,0.9903516976226585,Alcohol
v1-k100,rho,411,0.9937907122311056,0.0008497432493478571,0.9936688920105724,0.9919100107342422,0.9952133223920233,Alcohol
v1-k100,RMSE,211,0.011328603105420424,0.0008950570244210389,0.011508435590989855,0.009764932245738813,0.013399043259739405,Alkane
v1-k100,MUE,211,0.00786721337059894,0.0005596192807501469,0.008066649467953818,0.007030326374164467,0.00920585989624636,Alkane
v1-k100,MSE,211,0.004519816115999667,0.0007292903303659574,0.004509192593994747,0.0030780825133777004,0.005899099799298159,Alkane
v1-k100,R2,211,0.9862825363302369,0.005751964309388858,0.984274271605221,0.9709432779731098,0.9926684979363805,Alkane
v1-k100,rho,211,0.9931175843424771,0.002955872560126758,0.991805872751231,0.9850317136155764,0.9959846185002059,Alkane
v1-k100,RMSE,13,0.0031061591830371204,0.0004543546954891428,0.0031192616593602425,0.0021523103133452015,0.003952786443231641,Alkene
v1-k100,MUE,13,0.0025338488353127044,0.0005026871497232422,0.0025657800131539277,0.0016332114511040578,0.0036495203354677008,Alkene
v1-k100,MSE,13,-0.0021723557468337294,0.0006531355323224258,-0.002188645139907606,-0.003525117861584868,-0.0008965744472784881,Alkene
v1-k100,R2,13,0.9997366370098918,0.00029911744687674454,0.9996041932058845,0.9988769713339228,0.9999242612836929,Alkene
v1-k100,rho,13,0.999868309833796,0.00015268051576687098,0.9998092510211891,0.9994143970330329,0.9999614169113626,Alkene
v1-k100,RMSE,126,0.015243691197939216,0.0013426349233959744,0.015211998652671695,0.012580158038517194,0.017746304036969907,Alkyl Bromide
v1-k100,MUE,126,0.011312154909726034,0.0009067564811512513,0.011290838517567169,0.009474957677256576,0.013062371489040731,Alkyl Bromide
v1-k100,MSE,126,-0.0041407122597434225,0.0013565429000518443,-0.004191624469789328,-0.006829352669536805,-0.0014897972718692309,Alkyl Bromide
v1-k100,R2,126,0.9987751996509063,0.0002306103978344983,0.9987421205474558,0.9982496963199938,0.9991378468602551,Alkyl Bromide
v1-k100,rho,126,0.9993874121935428,0.00011167886702276376,0.9993745378380006,0.9991271608326516,0.9995723608738734,Alkyl Bromide
v1-k100,RMSE,181,0.009584188988579568,0.0005136775316410782,0.009635825493901348,0.008682238909077522,0.01066052018259847,Alkyl Chloride
v1-k100,MUE,181,0.007621260537721218,0.0004166262223370765,0.007669816168077891,0.006861402126244487,0.008490667938107885,Alkyl Chloride
v1-k100,MSE,181,0.0005763353668484269,0.000695062912156763,0.0005540787866209155,-0.0007881546802804257,0.00195977350787149,Alkyl Chloride
v1-k100,R2,181,0.9900679368523676,0.001525617753892148,0.9897731227304876,0.9864988528319908,0.9924078466919534,Alkyl Chloride
v1-k100,rho,181,0.995021576073789,0.000750158680788937,0.9949338000760638,0.9933844739137707,0.9962773577535373,Alkyl Chloride
