FF,stat,n,mle,stderr,mean,low,high,group
v3-k100,RMSE,1212,0.014954586513921312,0.0005910380890954736,0.015063813987645681,0.013930147901366036,0.016219367542005234,All
v3-k100,MUE,1212,0.010156119520318186,0.0003056952814786224,0.010252789099627244,0.009673061448141772,0.010864049409003393,All
v3-k100,MSE,1212,0.0034230534420815156,0.000415031439639877,0.0034435248465953406,0.0026874541912474403,0.0042538098727637344,All
v3-k100,R2,1212,0.996056370435559,0.0004711220702623627,0.9959296768696182,0.9949463992395297,0.9967552796687181,All
v3-k100,rho,1212,0.9980262373482764,0.00024067410550264356,0.9979710111004245,0.9974508181915982,0.9983918945789626,All
v3-k100,RMSE,12,0.031520029245629466,0.00489479472236093,0.031176637020326428,0.02180570046148726,0.040469330180872995,"1,2 Aminoalcohol"
v3-k100,MUE,12,0.026192564477829194,0.005080006614185389,0.026112452079057113,0.01626642532481311,0.036504083377950525,"1,2 Aminoalcohol"
v3-k100,MSE,12,0.02430995978356798,0.005763441236287421,0.024359826838791593,0.013012615860844326,0.035117670830807156,"1,2 Aminoalcohol"
v3-k100,R2,12,0.8124561765400953,0.08472061777776795,0.8125894815973917,0.6308034350043824,0.9510990595092215,"1,2 Aminoalcohol"
v3-k100,rho,12,0.9013635096563957,0.05154549400997995,0.8997061705868693,0.7810121080007013,0.9741716274859421,"1,2 Aminoalcohol"
v3-k100,RMSE,15,0.009483675563001058,0.0014012527647923683,0.00957472153377924,0.007201527205460598,0.012752740485600059,"1,2 Diol"
v3-k100,MUE,15,0.00836521966266884,0.0012074535620773016,0.008361136237764763,0.006139438787121132,0.01097071772045762,"1,2 Diol"
v3-k100,MSE,15,0.007237403906308426,0.001628666387526056,0.0072395190976277364,0.004248414203737657,0.010452705376861767,"1,2 Diol"
v3-k100,R2,15,0.9956528489637021,0.003048823644574891,0.9951244287154719,0.9874793025592895,0.9991905004440388,"1,2 Diol"
v3-k100,rho,15,0.9978240571181385,0.0016452182769068325,0.9974512620931574,0.9933517199327204,0.9995016195121726,"1,2 Diol"
v3-k100,RMSE,13,0.011396825470266818,0.0016942304265205744,0.011262366531769711,0.007705122992521788,0.014400884269321535,Acetal
v3-k100,MUE,13,0.00956534481656492,0.0017127421242878887,0.009634206119393406,0.006302179917508708,0.01312032101597373,Acetal
v3-k100,MSE,13,0.009254117251070948,0.0018862233035445049,0.009246578743263923,0.005674965799457374,0.012965122167626745,Acetal
v3-k100,R2,13,0.9972751964500842,0.0017978167740488027,0.9970051368107357,0.9928943549095759,0.9995967821863933,Acetal
v3-k100,rho,13,0.9986366688891831,0.0009200521985269027,0.9984967852199559,0.9963527577798913,0.9997910848529751,Acetal
v3-k100,RMSE,411,0.015162934129985905,0.0008606508051150601,0.015347163548113961,0.013736910479070798,0.01699851758321076,Alcohol
v3-k100,MUE,411,0.010576074974982572,0.0005474983297911365,0.010655402723482218,0.009607424371267163,0.011734474025487754,Alcohol
v3-k100,MSE,411,0.005301687657690253,0.0007067405409533609,0.0053102807758185445,0.003899226434262337,0.006668050857004828,Alcohol
v3-k100,R2,411,0.9896016487031137,0.001466607843977725,0.9893132178381528,0.9863971207344683,0.9918925233438317,Alcohol
v3-k100,rho,411,0.9947872379072386,0.0007375492049306376,0.994632724739106,0.9931239770808176,0.996010235483874,Alcohol
v3-k100,RMSE,211,0.011848286899953984,0.0011511364512762831,0.012010834253673134,0.010040315254936913,0.014357694632487523,Alkane
v3-k100,MUE,211,0.007980958607160762,0.0006020483529911736,0.00814827572463958,0.0070085445520769235,0.00933978644655965,Alkane
v3-k100,MSE,211,0.006138496857609436,0.0007480140934741609,0.006157687472662405,0.0047670035665538036,0.007723321498007107,Alkane
v3-k100,R2,211,0.9869774512683007,0.005224422590060442,0.9854049497638507,0.9740921923446098,0.9931292968758004,Alkane
v3-k100,rho,211,0.9934673881251977,0.002628266706550573,0.9925269370132263,0.9868791398570619,0.9964825041507634,Alkane
v3-k100,RMSE,13,0.003914771344204509,0.0004769375033011479,0.003926088357673586,0.002926787282887942,0.004820245211620583,Alkene
v3-k100,MUE,13,0.0034853506641480893,0.00048328010761030125,0.0035059838890759746,0.002602497399523742,0.004463751938135163,Alkene
v3-k100,MSE,13,-0.001723914905477007,0.000989720266509808,-0.001714062879442391,-0.003676392694498205,0.0003195273203774415,Alkene
v3-k100,R2,13,0.9988910879374381,0.0007490178257334412,0.9988227332085481,0.9967667846313725,0.9996809282170134,Alkene
v3-k100,rho,13,0.9994453901726889,0.00040858413686530406,0.9993894358755953,0.9983640212918455,0.9998442758515778,Alkene
v3-k100,RMSE,126,0.015487140414295495,0.0013917591994554997,0.015504026609581664,0.012918426418574542,0.018260317779375597,Alkyl Bromide
v3-k100,MUE,126,0.011440485247522853,0.0009203349432014952,0.011489686043631516,0.009726512949334312,0.013425748198516673,Alkyl Bromide
v3-k100,MSE,126,-0.008379669623850733,0.0012003221622689172,-0.008404669194821053,-0.010704414817793207,-0.006128630978614221,Alkyl Bromide
v3-k100,R2,126,0.999274696305013,0.00012990832046381876,0.9992447794614913,0.9989672246447067,0.9994609625045628,Alkyl Bromide
v3-k100,rho,126,0.9996372823704671,6.478041010940771e-05,0.9996196335060228,0.9994785979002365,0.9997305000715367,Alkyl Bromide
v3-k100,RMSE,181,0.007703004375608099,0.000505231195021821,0.007771333256581412,0.0067913178568238825,0.008800289694765267,Alkyl Chloride
v3-k100,MUE,181,0.005937876950528122,0.0003762855320222883,0.006000974359288422,0.005260405007977036,0.0067567324163452375,Alkyl Chloride
v3-k100,MSE,181,0.0005189374118134782,0.0005609783022370529,0.0005217317375000696,-0.0005916058276344968,0.0016057465749979513,Alkyl Chloride
v3-k100,R2,181,0.9938531391612765,0.0009828628464114881,0.993680135916272,0.9914629042643119,0.9954495822856362,Alkyl Chloride
v3-k100,rho,181,0.9969218320215869,0.00047905049349074264,0.9968364692156667,0.9957923451168323,0.9976774652735914,Alkyl Chloride
v3-k100,RMSE,20,0.02369195679223913,0.005435836530898525,0.023250250840551382,0.012909528453496015,0.034197747595337724,Alkyl Fluoride
v3-k100,MUE,20,0.016408933060178654,0.00385428616589201,0.01650350513701124,0.009860058511835478,0.02503048711667879,Alkyl Fluoride
v3-k100,MSE,20,-0.0003912319628200267,0.005194954161429677,-0.00034121348905601903,-0.0094266103388285,0.01141042626093471,Alkyl Fluoride
v3-k100,R2,20,0.9819264420174835,0.013843356524666168,0.9806452585179964,0.9468642801067008,0.9992825356276791,Alkyl Fluoride
v3-k100,rho,20,0.9909220161130158,0.006899205755543294,0.9902013171678506,0.9712510421246848,0.9995824436563948,Alkyl Fluoride
v3-k100,RMSE,20,0.004736627416462217,0.0006612250387572653,0.004709787237191652,0.003521894717686499,0.006020598007611441,Alkylarylether
v3-k100,MUE,20,0.0040869396436584325,0.0005487158282205089,0.004099268492217646,0.003079092645833487,0.005259501476746031,Alkylarylether
v3-k100,MSE,20,0.002904631664415963,0.0008556196617755314,0.0029188722847815884,0.0012543320386873892,0.0045102737017548526,Alkylarylether
v3-k100,R2,20,0.9655091095436207,0.02213438591368873,0.9620046784495193,0.8982174952268072,0.9892007655054078,Alkylarylether
v3-k100,rho,20,0.9826032309857425,0.010295559167363818,0.9807049675522258,0.9564591546620599,0.9935764167364712,Alkylarylether
v3-k100,RMSE,151,0.025880293520364007,0.0022944777689387456,0.025850594450820257,0.02128552439050042,0.03054602405583516,Amine
v3-k100,MUE,151,0.01834343648712756,0.0014896030564638325,0.01835225103778369,0.015404581091944841,0.021421950754592467,Amine
