index,FF,stat,n,mle,stderr,mean,low,high,group
0,Sage 2.2.1,RMSE,997,0.4029979018785344,0.0191376594143341,0.4079958911520639,0.3712755432251365,0.4475597086783242,All
1,Sage 2.2.1,MUE,997,0.2674386389381958,0.0097359151617902,0.2723385488248372,0.254214410087767,0.2921822351853617,All
2,Sage 2.2.1,MSE,997,0.0929328684416326,0.0122387994272339,0.0920527476177572,0.0671148643027835,0.1162642033177017,All
3,Sage 2.2.1,R2,997,0.8192510272419237,0.0192101723518925,0.8121797078061113,0.7698642539403364,0.8466855507343429,All
4,Sage 2.2.1,rho,997,0.9051248683148228,0.0101526911790338,0.9019772960653394,0.8803143676920299,0.9199182712069724,All
0,Sage 2.2.1 + AshGC,RMSE,997,0.4179699576115314,0.0202248648958542,0.4231954719934536,0.3847297357449228,0.4639699433318732,All
1,Sage 2.2.1 + AshGC,MUE,997,0.275021653387235,0.009994934147116,0.2801380939744315,0.2610197186128967,0.3008356743074196,All
2,Sage 2.2.1 + AshGC,MSE,997,0.099335942022807,0.0127138660115069,0.0987752018589421,0.0741708809881081,0.1251377539813321,All
3,Sage 2.2.1 + AshGC,R2,997,0.8058731124383044,0.0195032586345919,0.8002287909185043,0.7605640366264229,0.834902369729969,All
4,Sage 2.2.1 + AshGC,rho,997,0.8977043569228702,0.0108580106014201,0.8948134665440982,0.8713318911873971,0.9147520021887652,All
0,Sage 2.3.0,RMSE,997,0.3782096735693657,0.0183021151107373,0.384309416183325,0.3474148022472316,0.4189231111304839,All
1,Sage 2.3.0,MUE,997,0.2421216796118718,0.0089811682737571,0.2499572115548008,0.2329698321214924,0.2681393154504882,All
2,Sage 2.3.0,MSE,997,0.0994610937021443,0.0115840371572229,0.0989399840715772,0.0759911799149869,0.1210160936095231,All
3,Sage 2.3.0,R2,997,0.8427793035206083,0.0159783444414063,0.8373055963997043,0.8037168836302663,0.865268035250545,All
4,Sage 2.3.0,rho,997,0.9180301212490848,0.0091026125488279,0.9146690426462192,0.8951796047395881,0.9304468205626936,All
