index,FF,stat,n,mle,stderr,mean,low,high,group
0,Sage 2.2.1,RMSE,1212,0.0189527952628987,0.0006836832094601,0.0189339475719879,0.0176503832406195,0.0203612221548142,All
1,Sage 2.2.1,MUE,1212,0.014011127080197,0.0003548979436084,0.0140046560310967,0.0132987058017357,0.0147663069646398,All
2,Sage 2.2.1,MSE,1212,-0.0076056777192585,0.00049273809328,-0.0076206265950916,-0.0085516565472037,-0.0066142035132113,All
3,Sage 2.2.1,R2,1212,0.9941469000333796,0.0007244836445826,0.9941400620792707,0.9924624773902768,0.9954104074006788,All
4,Sage 2.2.1,rho,1212,0.9970691550907484,0.0003707895147556,0.9970737045192956,0.9962927076915572,0.9977483823603328,All
0,Sage 2.2.1 + AshGC,RMSE,1212,0.0192160426970909,0.0006688058330922,0.0193259065448172,0.0180768533419817,0.0205741826651392,All
1,Sage 2.2.1 + AshGC,MUE,1212,0.0144348928131796,0.0003648885567568,0.0144934016181191,0.0137641962860044,0.0152159708799052,All
2,Sage 2.2.1 + AshGC,MSE,1212,-0.0081920477594774,0.0005011566463549,-0.0081837217751982,-0.0091739037018971,-0.007152303161084,All
3,Sage 2.2.1 + AshGC,R2,1212,0.994292071876938,0.0007282801805229,0.994184760073326,0.9926215013620202,0.9955288301604356,All
4,Sage 2.2.1 + AshGC,rho,1212,0.9971419517184796,0.0003649141782783,0.9970965925931354,0.9963406470328932,0.9977826094741024,All
0,Sage 2.3.0,RMSE,1212,0.0149545865139213,0.0005910380890954,0.0150638139876456,0.013930147901366,0.0162193675420052,All
1,Sage 2.3.0,MUE,1212,0.0101561195203181,0.0003056952814786,0.0102527890996272,0.0096730614481417,0.0108640494090033,All
2,Sage 2.3.0,MSE,1212,0.0034230534420815,0.0004150314396398,0.0034435248465953,0.0026874541912474,0.0042538098727637,All
3,Sage 2.3.0,R2,1212,0.996056370435559,0.0004711220702623,0.9959296768696182,0.9949463992395297,0.996755279668718,All
4,Sage 2.3.0,rho,1212,0.9980262373482764,0.0002406741055026,0.9979710111004244,0.9974508181915982,0.9983918945789626,All
