,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
10,dhmix_1563298635135474599,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2789,,CN1CCCC1=O,Solvent,0.7211,,1.2061,0.0129,10.1016/j.jct.2010.12.016
11,dhmix_1683219349338278021,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4734,,CN1CCCC1=O,Solvent,0.5266,,1.4691,0.0157,10.1016/j.jct.2010.12.016
12,dhmix_369816950910078034,298.15,101.0,Liquid,2,BrCCCCBr,Solvent,0.7782,,COC=O,Solvent,0.2218,,0.6355,0.0057,10.1016/j.jct.2006.05.004
13,dhmix_1496821399278454353,298.15,101.0,Liquid,2,BrCCCCBr,Solvent,0.2653999999999999,,COC=O,Solvent,0.7346,,0.8185,0.00715,10.1016/j.jct.2006.05.004
14,dhmix_1802862930607761431,298.15,101.0,Liquid,2,BrCCCCBr,Solvent,0.482,,COC=O,Solvent,0.518,,1.0243,0.0087,10.1016/j.jct.2006.05.004
15,dhmix_8447570649359775,308.15,101.32,Liquid,2,OCCO,Solvent,0.4817,,OCc1ccccc1,Solvent,0.5183,,0.201,0.00465,10.1021/je0342062
16,dhmix_1362282802315816638,308.15,101.32,Liquid,2,OCCO,Solvent,0.7361,,OCc1ccccc1,Solvent,0.2639,,0.1383,0.0037,10.1021/je0342062
17,dhmix_1666683879028583081,308.15,101.32,Liquid,2,OCCO,Solvent,0.2365,,OCc1ccccc1,Solvent,0.7635000000000001,,0.209,0.0048,10.1021/je0342062
18,dhmix_820491025608256793,298.15,101.0,Liquid,2,CCOC(C)(C)C,Solvent,0.5019,,Cc1ccccc1,Solvent,0.4981,,-0.046,0.00055,10.1016/j.jct.2008.12.004
19,dhmix_1374163681483564129,298.15,101.0,Liquid,2,CCOC(C)(C)C,Solvent,0.2489,,Cc1ccccc1,Solvent,0.7511,,-0.0324,0.0005,10.1016/j.jct.2008.12.004
20,dhmix_1982853461678580310,298.15,101.0,Liquid,2,CCOC(C)(C)C,Solvent,0.7495,,Cc1ccccc1,Solvent,0.2504999999999999,,-0.0348,0.0005,10.1016/j.jct.2008.12.004
21,dhmix_13624411991961099,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2379,,Cc1ccccc1N,Solvent,0.7621,,-0.3658,0.004,10.1021/je1005196
22,dhmix_510299013171775812,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.741,,Cc1ccccc1N,Solvent,0.259,,-0.4892,0.0053,10.1021/je1005196
23,dhmix_1337006691942958969,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4901,,Cc1ccccc1N,Solvent,0.5099,,-0.5715,0.0062,10.1021/je1005196
24,dhmix_1315230298567753558,298.15,101.0,Liquid,2,CCCCCl,Solvent,0.793,,CN(C)C=O,Solvent,0.207,,0.404,0.003,10.1016/j.jct.2007.01.017
25,dhmix_1929975181819720491,298.15,101.0,Liquid,2,CCCCCl,Solvent,0.493,,CN(C)C=O,Solvent,0.507,,0.571,0.003,10.1016/j.jct.2007.01.017
26,dhmix_1976787548784045784,298.15,101.0,Liquid,2,CCCCCl,Solvent,0.295,,CN(C)C=O,Solvent,0.705,,0.467,0.003,10.1016/j.jct.2007.01.017
27,dhmix_1909144841681931250,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4882,,Cc1ccccn1,Solvent,0.5118,,-1.4976,0.0305,10.1016/j.jct.2010.12.028
28,dhmix_2038606904928978856,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7821,,Cc1ccccn1,Solvent,0.2178999999999999,,-0.8656,0.01775,10.1016/j.jct.2010.12.028
