id,smiles_1,smiles_2,Sage 2.2.1,Sage 2.3.0rc1,Sage 2.3.0rc1 - Sage 2.2.1,water
dens_1001386022093707780,CCCCCCC,COC=O,0.7013478400195486,0.702868551200556,0.0015207111810073837,True
dens_1001937740643123773,CCCOC=O,ClCCCCCCl,1.014697269257132,1.0097176156457075,-0.004979653611424606,True
dens_1002639246322609242,C1CCCCC1,C1CCOCC1,0.7744244625213911,0.7792766868815736,0.004852224360182511,True
dens_1009866957373606646,Cn1ccnc1,,1.0212211376682951,1.0213952049626616,0.0001740672943664201,False
dens_1014762781474427089,CCCCOCCO,c1ccccc1,0.8657330070032412,0.8817654074997083,0.016032400496467147,True
dens_1016333459353715196,COC=O,ClCCCCCCCl,1.034476373864922,1.0288335601029086,-0.005642813762013477,True
dens_101790236260677472,CCCCC(C)=O,,0.7886614850076263,0.7934332001279124,0.004771715120286069,True
dens_1020722913861580636,CC(C)(C)O,OC1=NCCC1,0.928108569053816,0.9379742952202778,0.009865726166461752,True
dens_1020825676410528686,CCO,c1ccccc1,0.8439094193100726,0.8645075224507154,0.02059810314064281,True
dens_1020839744665732433,CC(C)CC(C)(C)C,CCCO,0.7596011405566773,0.7634645011782348,0.0038633606215575655,True
dens_1022061305050236853,COC(C)=O,ClCCCCCCl,0.9836239399328056,0.9812523243303344,-0.002371615602471233,True
dens_1024369107887510477,CCCO,COC(C)=O,0.8611451320246494,0.8629861681127026,0.001841036088053194,True
dens_1024460369591354985,Cc1ccncc1,O,0.9570471468781312,0.9581932857807862,0.001146138902655025,True
dens_1025242301432619836,CCCOC(=O)CC,ClCCCl,0.9971246403068476,0.9971406662166394,1.6025909791883564e-05,True
dens_1025385981666841957,CCCCC,COC=O,0.670511250774405,0.672673282347259,0.002162031572853995,True
dens_1029989467170456226,CCCCCCC,CCO,0.6754107241219725,0.6780147165619489,0.0026039924399764436,True
dens_1032175440351342196,BrCCCBr,COC(C)=O,1.2193308738635118,1.2249190519993585,0.0055881781358466664,True
dens_1033313642915027277,Cc1ccccc1N,Cc1cccnc1,0.997213912474698,1.0005226038130235,0.0033086913383254535,False
dens_1035925659341719609,CCCCCCC,CCCCO,0.7522249715567114,0.7567488466864266,0.0045238751297151936,True
dens_1037236886905429382,Cc1ccccc1,c1ccccc1,0.8399401710572866,0.8619448524538683,0.022004681396581738,False
dens_1039573738449890566,CCCCO,Cc1ccccc1,0.8095401854600547,0.817610410516404,0.008070225056349356,True
dens_1042567278853913615,CC(=O)O,CCO,0.8718341527401193,0.8798672178268405,0.008033065086721192,True
dens_1046625605566999080,CN1CCCC1=O,ClCCCl,1.1733502812248653,1.1735357509084492,0.00018546968358390536,True
dens_1047190395059497900,CCO,OCCO,0.9508488175911124,0.9621918324198568,0.011343014828744447,True
dens_1048414452491622153,CCCO,COC(C)(C)C,0.7621330073336926,0.7663450350192785,0.0042120276855859284,True
dens_1048925802213854204,BrCCCBr,CCCCOC(=O)CCC,1.0470411275332674,1.0528178211539545,0.005776693620687112,True
dens_1051441780038840031,CC(C)CCl,,0.8606805583603593,0.8598046116487105,-0.0008759467116488118,False
dens_1053849773924337242,C=CCCCC,CCCCO,0.7847026038794263,0.7898495953014854,0.0051469914220590995,True
dens_1055199053209981454,CCC(C)=O,CCCCO,0.7929809179560469,0.7980153452185933,0.005034427262546437,True
dens_1055220895195342210,CC(C)O,CCOC(=O)CC(=O)OCC,0.918464934038029,0.9207164870235672,0.002251552985538252,True
dens_1055753058412812556,CCO,OCc1ccccc1,1.0022251428423197,1.0174747794752448,0.015249636632925112,True
dens_105918480635886531,ClC(Cl)Cl,,1.5704581271521336,1.555854812503367,-0.014603314648766519,False
dens_1059428282849222105,CC(C)O,CCOC(=O)CC(=O)OCC,0.972231907648442,0.9732537305459268,0.0010218228974847587,True
dens_1059919274311274879,CN1CCCC1=O,c1ccncc1,0.9910217225757896,0.9949651484518576,0.003943425876067996,True
dens_1061113895049970610,OCCCO,,1.0554205896018956,1.0679564001108812,0.012535810508985668,True
dens_1061385011202038988,CC(C)O,CCCCOCCO,0.8567408107934287,0.8620967615169487,0.00535595072352002,True
dens_1061805462523784249,CCOC(C)=O,ClCCCl,0.9749172255849076,0.9798766438678664,0.004959418282958872,True
dens_1067254572752008479,COC(C)=O,,0.9309044670115004,0.9290598056690595,-0.0018446613424408786,True
dens_1071297371669545110,BrCCBr,CCCCOC(=O)CC,1.3155353545704285,1.3181558545918366,0.002620500021408123,True
dens_1074719884132299485,C1CCOCC1,CCCCCC(C)=O,0.8246966054287551,0.8294086101810448,0.004712004752289722,True
dens_1079895599415176058,CCC(=O)OC,ClCCCl,1.0516509996197037,1.0508514091346426,-0.0007995904850610636,True
dens_1082798135192875840,CCCCCC,CCCCOC=O,0.7004859013343085,0.702129395548121,0.0016434942138124908,True
dens_1083232356130752567,CC(=O)N(C)C,CCCCCl,0.8920580758987694,0.8954993564688628,0.003441280570093408,True
dens_1085110183353279404,BrCCBr,CCCCOC(=O)CCC,1.5993356065211726,1.6039276600887,0.004592053567527454,True
dens_1085345433585028387,CO,O,0.8383830164913973,0.8463322204271374,0.007949203935740057,True
dens_1085528015964465649,C1CCOCC1,CCCCO,0.8461403828598484,0.8511800772461573,0.005039694386308913,True
dens_1087293569591308064,BrCCBr,CCCCC(=O)OCC,1.0922437816821091,1.09492886072179,0.002685079039680849,True
dens_1087422962538109584,CCCCCC(C)=O,CCCCNCCCC,0.7712358168364583,0.7757635586906165,0.004527741854158274,True
