FF_ref,stat_ref,n_ref,mle_ref,stderr_ref,mean_ref,low_ref,high_ref,group,FF_tgt,stat_tgt,n_tgt,mle_tgt,stderr_tgt,mean_tgt,low_tgt,high_tgt,mle_diff,Change
Sage 2.2.1,RMSE,222,26.175984650480466,0.2851484056989908,26.159537749972465,25.57469544363912,26.66885476902945,a4a,v3-k100,RMSE,222,1.5528078643469445,0.0818158599903703,1.548555096684872,1.3890207684838567,1.7074739761032882,-24.62317678613352,Improved
Sage 2.2.1,RMSE,61,14.911663237969885,0.3794269880051041,14.906237135807723,14.206478685548136,15.687909206917974,a1a,v3-k100,RMSE,61,4.1486797544437115,0.6323697578487243,4.110905217111377,3.108314549720849,5.437903036862258,-10.762983483526174,Improved
Sage 2.2.1,RMSE,486,8.576323747514632,0.0551497116844503,8.577701505601349,8.475750988245446,8.690564186672022,a11a,v3-k100,RMSE,486,3.1627276482808804,0.0656803860852327,3.164163074079903,3.0386098165222997,3.2979978582621805,-5.413596099233752,Improved
Sage 2.2.1,RMSE,1881,7.088831127869128,0.0627026919629931,7.088532795164619,6.9678806904529855,7.210900985342897,a42,v3-k100,RMSE,1881,3.338143889476852,0.0394800926022444,3.337575409323565,3.2603965123684593,3.4168354505929046,-3.750687238392276,Improved
Sage 2.2.1,RMSE,12208,6.677180048875527,0.0169447683183368,6.675967537706512,6.643693869758582,6.7089312719901555,a10a,v3-k100,RMSE,12208,2.955688223392067,0.0128208023625079,2.955260873334065,2.9297296354561726,2.9815050272285024,-3.7214918254834597,Improved
Sage 2.2.1,RMSE,8980,4.1073044286168825,0.0247491303939203,4.10816598375269,4.0626358958305655,4.156948906258259,a7,v3-k100,RMSE,8980,0.9587159909184968,0.01095542680827,0.9590946637159362,0.9381345463589492,0.9813360638170804,-3.1485884376983857,Improved
Sage 2.2.1,RMSE,19482,4.282701721430604,0.018143351107847,4.283699208192163,4.2465375475325535,4.320201237989059,a7a,v3-k100,RMSE,19482,1.3408588838529998,0.0089908391261993,1.3410662401458122,1.3234470029538647,1.3603084290334375,-2.941842837577604,Improved
Sage 2.2.1,RMSE,943,6.848927069765339,0.0613262779202993,6.851048538767125,6.735916238320722,6.976349181769178,a33a,v3-k100,RMSE,943,4.036653376717345,0.1652130704243467,4.037548845065513,3.70347854459604,4.347268399150959,-2.8122736930479943,Improved
Sage 2.2.1,RMSE,513,5.8738537079074415,0.135511308784697,5.873063975969385,5.6083532671245955,6.151943051277198,a18b,v3-k100,RMSE,513,3.1331501749212123,0.1863932441196602,3.1279004278739557,2.764110453355061,3.5029745813460114,-2.7407035329862293,Improved
Sage 2.2.1,RMSE,2369,9.448618420290511,0.0308666571923512,9.44909652679694,9.390063153444574,9.511876489418707,a15a,v3-k100,RMSE,2369,7.425961244295964,0.0344585760604271,7.4266162927933745,7.360476957997534,7.492310851089968,-2.0226571759945475,Improved
Sage 2.2.1,RMSE,2697,5.627217098074394,0.0493374536982574,5.625884017163449,5.526831648061308,5.72772888865717,a33,v3-k100,RMSE,2697,3.782076088254397,0.0674939849227576,3.781299070489914,3.653948884421137,3.9137119999469774,-1.8451410098199967,Improved
Sage 2.2.1,RMSE,29885,4.610085119447237,0.012098613745594,4.609822236026045,4.587049058493972,4.634661691639033,a28a,v3-k100,RMSE,29885,2.979736154457048,0.0213740537270699,2.9804293931610952,2.9394443816802327,3.024428608404779,-1.6303489649901888,Improved
Sage 2.2.1,RMSE,1362,2.7322173874391753,0.0289575466286298,2.7317085407319746,2.6755210839004473,2.7899611377660665,a26,v3-k100,RMSE,1362,1.5175823737044616,0.0321850534107165,1.515764842243604,1.4502829514169422,1.5780693385723406,-1.2146350137347137,Improved
Sage 2.2.1,RMSE,150944,4.134468374376181,0.0094970273630035,4.13414586444501,4.1140413601013455,4.152476815057962,a21,v3-k100,RMSE,150944,3.1372543611986825,0.0071949039276799,3.137429713876326,3.123468767634297,3.1519267358834093,-0.9972140131774982,Improved
Sage 2.2.1,RMSE,205054,3.867515498448276,0.0080274630594562,3.867451632904529,3.851311901689652,3.883046080468485,a19,v3-k100,RMSE,205054,2.915910795908347,0.0060811693404715,2.915707125700377,2.9042728191106044,2.927477770094981,-0.951604702539929,Improved
Sage 2.2.1,RMSE,14657,4.60105643738567,0.029815607440301,4.599967575755821,4.5404468852976185,4.657975065627597,a15,v3-k100,RMSE,14657,3.980460094981773,0.0226956769841622,3.97967730548494,3.9363535501509457,4.026312027617325,-0.6205963424038967,Improved
Sage 2.2.1,RMSE,85451,3.3085484286784452,0.0081773996380221,3.3085516781272992,3.2927599792289213,3.324492637013631,a28,v3-k100,RMSE,85451,2.733246438070268,0.0094211540176803,2.7337421705405363,2.715527708146674,2.752228131985495,-0.5753019906081773,Improved
