id,smiles_1,smiles_2,Sage 2.2.1,Sage 2.2.1 + AshGC,Sage 2.2.1 + AshGC - Sage 2.2.1,water
dhmix_1000930562998604270,Cc1ccccc1N,c1ccncc1,-1.1982127471264168,-1.0931019046594024,0.10511084246701441,False
dhmix_1001984601109558110,CCCCCC(C)=O,CCN(CC)CC,0.1897716469996524,0.210523176627061,0.020751529627408588,True
dhmix_1003039131395935786,C1CCOCC1,c1ccncc1,0.0880023015981213,0.117226382583361,0.02922408098523971,True
dhmix_1003091198206314816,BrCCBr,CCCCOC=O,-0.0541153860511632,-0.0389976379676907,0.0151177480834725,True
dhmix_1011031216505560294,CCO,CCOC(=O)CC(=O)OCC,1.5359223150620096,1.5980654331057167,0.06214311804370709,True
dhmix_1012297674499495059,C1COCCN1,O,-1.2322118044327468,-1.3179731117940945,-0.08576130736134768,True
dhmix_1015694053591256314,CCCCO,CCOC(=O)C(C)C,0.7852042876915087,0.5755842964947746,-0.20961999119673413,True
dhmix_101847702994296892,CCCCCCCl,CN1CCCC1=O,0.6880455250260885,0.6509812119037832,-0.03706431312230529,True
dhmix_1019631376027538939,CCCO,Cc1ccccc1,1.2495624646527854,1.224879622918306,-0.02468284173447932,True
dhmix_1022139531284796266,CCCO,O=Cc1ccccc1,1.019530379231166,1.0820197726933547,0.062489393462188625,True
dhmix_1026249471248922257,BrCCBr,CCCC(=O)OCC,-0.4468498906283701,-0.4133808906092244,0.03346900001914571,True
dhmix_1028215587502767385,BrCCCBr,CCC(=O)OC,0.0462380325599299,0.0070948473220884,-0.0391431852378415,True
dhmix_1037416167092316519,CCCNCCC,CN(C)C=O,0.1502518405670822,0.1762211762461542,0.025969335679071975,True
dhmix_1038591828122641798,CC#N,c1ccccc1,-0.0165919607159435,-0.0347098202405581,-0.0181178595246146,False
dhmix_1043806055191244463,CCOCCO,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6302398408507249,0.4633585213776428,-0.16688131947308216,True
dhmix_1045652173440309018,CC(C)OC(C)C,Cc1ccccc1,-0.074094063824243,-0.0773849424348824,-0.003290878610639411,True
dhmix_1046208115327217708,CCCCCO,CCOC(=O)CC(=O)OCC,1.8689369841979524,1.9014005562432672,0.032463572045314804,True
