id,smiles_1,smiles_2,Sage 2.2.1,v3-k100,v3-k100 - Sage 2.2.1,water
dhmix_1000930562998604270,Cc1ccccc1N,c1ccncc1,-1.1982127471264168,-0.9763452826542612,0.22186746447215555,False
dhmix_1001984601109558110,CCCCCC(C)=O,CCN(CC)CC,0.1897716469996524,0.1847595153152804,-0.0050121316843720065,True
dhmix_1003039131395935786,C1CCOCC1,c1ccncc1,0.0880023015981213,0.0531650358847564,-0.034837265713364894,True
dhmix_1003091198206314816,BrCCBr,CCCCOC=O,-0.0541153860511632,0.0998170180225521,0.1539324040737153,True
dhmix_1011031216505560294,CCO,CCOC(=O)CC(=O)OCC,1.5359223150620096,1.8650813866276603,0.3291590715656507,True
dhmix_1012297674499495059,C1COCCN1,O,-1.2322118044327468,-1.7957993746538132,-0.5635875702210664,True
dhmix_1015694053591256314,CCCCO,CCOC(=O)C(C)C,0.7852042876915087,0.8918604082598213,0.10665612056831253,True
dhmix_101847702994296892,CCCCCCCl,CN1CCCC1=O,0.6880455250260885,0.6968020522779644,0.008756527251875923,True
dhmix_1019631376027538939,CCCO,Cc1ccccc1,1.2495624646527854,1.210846762804503,-0.038715701848282436,True
dhmix_1022139531284796266,CCCO,O=Cc1ccccc1,1.019530379231166,1.441032258859406,0.42150187962823993,True
dhmix_1026249471248922257,BrCCBr,CCCC(=O)OCC,-0.4468498906283701,-0.3314467715716667,0.11540311905670342,True
dhmix_1028215587502767385,BrCCCBr,CCC(=O)OC,0.0462380325599299,-0.0128121900494978,-0.0590502226094277,True
dhmix_1037416167092316519,CCCNCCC,CN(C)C=O,0.1502518405670822,0.1749546112085648,0.024702770641482574,True
dhmix_1038591828122641798,CC#N,c1ccccc1,-0.0165919607159435,0.0442520137579004,0.060843974473843904,False
dhmix_1043806055191244463,CCOCCO,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.6302398408507249,0.408683630116343,-0.22155621073438192,True
dhmix_1045652173440309018,CC(C)OC(C)C,Cc1ccccc1,-0.074094063824243,-0.0622100814532421,0.011883982371000898,True
dhmix_1046208115327217708,CCCCCO,CCOC(=O)CC(=O)OCC,1.8689369841979524,2.1718737335531344,0.302936749355182,True
dhmix_1050664243792629512,CCCCCC,CCCCO,0.8252603379826032,0.5495289265681814,-0.2757314114144218,True
dhmix_1051001364116056564,CCCCCC(C)=O,CCCCNCCCC,0.0197835851764433,-0.0971585744877738,-0.1169421596642171,True
dhmix_1052042310023734389,CC(C)=O,CNc1ccccc1,-0.8761878684684478,-0.8187288103232421,0.05745905814520569,True
dhmix_1052810281110682859,CCCCCC,CCCCOC=O,1.3454042122576102,1.3406687095770404,-0.00473550268056977,True
dhmix_1053189657313504079,CCOC(=O)CC(=O)OCC,CO,1.0889560745237457,1.510865638422511,0.4219095638987653,True
dhmix_1055456388735168345,CCO,CN(C)CCO,-0.7154459971504773,-0.6889477999669774,0.026498197183499883,True
dhmix_1057104304179164775,Cc1ccccc1N,Cc1cccnc1,-1.0814486914281891,-0.8895936923087312,0.19185499911945791,False
dhmix_1058055616951056484,CCCCCC,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.2287151549644098,0.197982017342909,-0.030733137621500817,False
dhmix_1064373607860850902,O,OCCN1CCOCC1,-2.323211220700576,-2.7305914709564454,-0.4073802502558692,True
dhmix_1066457784240915151,CCO,OCC(F)(F)F,-0.282361863455866,-0.1915713451842435,0.09079051827162249,True
dhmix_1070320975529400325,C1CCOCC1,Cc1ccccc1,-0.1371369297755933,-0.1891792573010396,-0.0520423275254463,True
dhmix_1071186757412258236,CCO,CCOC(=O)C(C)C,0.633089005212374,0.7869991424506253,0.1539101372382513,True
dhmix_1071605170986531920,CCCCCCCC,COC=O,1.963800764851636,2.018269577273159,0.05446881242152313,True
dhmix_1072062575498858075,CCCCOC=O,ClCCCl,0.0738878290006113,0.0048491852004725,-0.0690386438001388,True
dhmix_107460606439569535,C1COCCO1,O=C1CCCCCC1,0.225821597214401,0.2782269617994757,0.05240536458507469,True
dhmix_1078383344298013541,BrCCBr,CCOC(=O)CC,-0.1368983344052388,-0.0957547994629382,0.041143534942300594,True
dhmix_1080026293565782324,C1CCCCC1,CCCCO,0.3981529526926077,0.3236977344284615,-0.0744552182641462,True
dhmix_1082138353413387777,C1CCCCC1,CCCCCCCO,0.5442287716131252,0.4043623020061962,-0.139866469606929,True
dhmix_1088179016681497320,CCCCO,CCOC(C)(C)CC,0.61662882496717,0.5802935690462524,-0.036335255920917575,True
dhmix_1090642624443832057,BrCCCBr,CCCCOC(=O)CCC,-0.4327147966361124,-0.4267104473251872,0.006004349310925194,True
dhmix_109096525113217207,BrCCCBr,CCCCOC(C)=O,-0.2508043799922212,-0.2466179634676176,0.004186416524603609,True
dhmix_1091489740441728210,CCCCCCCCC,COC(C)(C)C,0.5006047014691765,0.5492227382159788,0.04861803674680232,True
dhmix_1092036220949585875,NCCO,c1ccncc1,0.5007735512571543,0.687380508389334,0.18660695713217967,True
dhmix_1093843275803987368,CCCC(=O)OC,COC(C)=O,0.0664824921584224,0.0767963585935002,0.010313866435077798,True
dhmix_1095020430896351563,CCCCCC,CCOC=O,0.6495083646610359,0.7224051259148485,0.07289676125381261,True
dhmix_1100450730626916395,BrCCCBr,CCCC(=O)OCC,-0.2085415998221881,-0.2864741546684932,-0.0779325548463051,True
dhmix_1101001475632451077,C1COCCO1,O=C1CCCCCC1,0.081401855963539,0.2353400422209925,0.1539381862574535,True
